tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS033,2015-08-17,R64,Tsvetana Pironkova,Lucie Hradecka,BUL,CZE,,,7-5,3-6,6-1,,311041,310849,W-P5-USA-01A-2015,2015,Tsvetana Pironkova,Lucie Hradecka,BUL,CZE,,,,Tsvetana Pironkova,Lucie Hradecka,3,"7-5,3-6,6-1",,2015-08-17,,Cincinnati,,,,,311041,,310849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS034,2015-08-17,R64,Karin Knapp,Ana Konjuh,ITA,CRO,,,7-5,6-1,,,311299,320682,W-P5-USA-01A-2015,2015,Karin Knapp,Ana Konjuh,ITA,CRO,,,,Karin Knapp,Ana Konjuh,2,"7-5,6-1",,2015-08-17,,Cincinnati,,,,,311299,,320682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS035,2015-08-17,R64,Daria Saville,Sara Errani,AUS,ITA,,16.0,6-1,4-6,6-2,,315997,310761,W-P5-USA-01A-2015,2015,Daria Saville,Sara Errani,AUS,ITA,,16.0,,Daria Saville,Sara Errani,3,"6-1,4-6,6-2",,2015-08-17,,Cincinnati,,,,,315997,,310761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS038,2015-08-17,R64,Sloane Stephens,Carla Suarez Navarro,USA,ESP,,10.0,6-1,6-2,,,315683,311338,W-P5-USA-01A-2015,2015,Sloane Stephens,Carla Suarez Navarro,USA,ESP,,10.0,,Sloane Stephens,Carla Suarez Navarro,2,"6-1,6-2",,2015-08-17,,Cincinnati,,,,,315683,,311338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS039,2015-08-17,R64,Mona Barthel,Casey Dellacqua,GER,AUS,,,2-6,6-3,7-6(4),,315365,310730,W-P5-USA-01A-2015,2015,Mona Barthel,Casey Dellacqua,GER,AUS,,,Q,Mona Barthel,Casey Dellacqua,3,"2-6,6-3,7-6(4)",,2015-08-17,,Cincinnati,,,,,315365,,310730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS037,2015-08-17,R64,Venus Williams,Zarina Diyas,USA,KAZ,,,7-6(6),6-4,,,230220,315696,W-P5-USA-01A-2015,2015,Venus Williams,Zarina Diyas,USA,KAZ,,,,Venus Williams,Zarina Diyas,2,"7-6(6),6-4",,2015-08-17,,Cincinnati,,,,,230220,,315696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS042,2015-08-17,R64,Caroline Garcia,Sabine Lisicki,FRA,GER,,,3-6,6-3,6-4,,315391,312520,W-P5-USA-01A-2015,2015,Caroline Garcia,Sabine Lisicki,FRA,GER,,,,Caroline Garcia,Sabine Lisicki,3,"3-6,6-3,6-4",,2015-08-17,,Cincinnati,,,,,315391,,312520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS041,2015-08-17,R64,Eugenie Bouchard,Kateryna Bondarenko,CAN,UKR,,,7-6(2),7-6(5),,,316161,,W-P5-USA-01A-2015,2015,Eugenie Bouchard,Kateryna Bondarenko,CAN,UKR,,,,Eugenie Bouchard,Kateryna Bondarenko,2,"7-6(2),7-6(5)",,2015-08-17,,Cincinnati,,,,,316161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS040,2015-08-17,R64,Elina Svitolina,Alison Riske Amritraj,UKR,USA,14.0,,6-2,4-6,6-0,,316738,312850,W-P5-USA-01A-2015,2015,Elina Svitolina,Alison Riske Amritraj,UKR,USA,14.0,,,Elina Svitolina,Alison Riske Amritraj,3,"6-2,4-6,6-0",,2015-08-17,,Cincinnati,,,,,316738,,312850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS046,2015-08-17,R64,Belinda Bencic,Angelique Kerber,SUI,GER,,11.0,7-5,6-3,,,319001,311470,W-P5-USA-01A-2015,2015,Belinda Bencic,Angelique Kerber,SUI,GER,,11.0,,Belinda Bencic,Angelique Kerber,2,"7-5,6-3",,2015-08-17,,Cincinnati,,,,,319001,,311470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS047,2015-08-17,R64,Flavia Pennetta,Dominika Cibulkova,ITA,SVK,,,7-5,6-2,,,160391,312894,W-P5-USA-01A-2015,2015,Flavia Pennetta,Dominika Cibulkova,ITA,SVK,,,,Flavia Pennetta,Dominika Cibulkova,2,"7-5,6-2",,2015-08-17,,Cincinnati,,,,,160391,,312894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS045,2015-08-17,R64,Coco Vandeweghe,Yulia Putintseva,USA,KAZ,,,6-3,6-2,,,314464,317683,W-P5-USA-01A-2015,2015,Coco Vandeweghe,Yulia Putintseva,USA,KAZ,,,WC,Coco Vandeweghe,Yulia Putintseva,2,"6-3,6-2",,2015-08-17,,Cincinnati,,,,,314464,,317683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS054,2015-08-17,R64,Victoria Azarenka,Lauren Davis,BLR,USA,,,6-1,6-2,,,312001,317414,W-P5-USA-01A-2015,2015,Victoria Azarenka,Lauren Davis,BLR,USA,,,,Victoria Azarenka,Lauren Davis,2,"6-1,6-2",,2015-08-17,,Cincinnati,,,,,312001,,317414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS052,2015-08-17,R64,Anastasia Pavlyuchenkova,Roberta Vinci,RUS,ITA,,,6-3,0-6,6-2,,313796,220214,W-P5-USA-01A-2015,2015,Anastasia Pavlyuchenkova,Roberta Vinci,RUS,ITA,,,,Anastasia Pavlyuchenkova,Roberta Vinci,3,"6-3,0-6,6-2",,2015-08-17,,Cincinnati,,,,,313796,,220214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS053,2015-08-17,R64,Yaroslava Shvedova,Garbine Muguruza,KAZ,ESP,,9.0,6-4,7-6(0),,,311137,316239,W-P5-USA-01A-2015,2015,Yaroslava Shvedova,Garbine Muguruza,KAZ,ESP,,9.0,Q,Yaroslava Shvedova,Garbine Muguruza,2,"6-4,7-6(0)",,2015-08-17,,Cincinnati,,,,,311137,,316239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS050,2015-08-17,R64,Andrea Petkovic,Julia Goerges,GER,GER,15.0,,6-4,6-2,,,310770,313381,W-P5-USA-01A-2015,2015,Andrea Petkovic,Julia Goerges,GER,GER,15.0,,,Andrea Petkovic,Julia Goerges,2,"6-4,6-2",,2015-08-17,,Cincinnati,,,,,310770,,313381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS051,2015-08-17,R64,Camila Giorgi,Christina Mchale,ITA,USA,,,5-7,6-3,6-2,,314610,314917,W-P5-USA-01A-2015,2015,Camila Giorgi,Christina Mchale,ITA,USA,,,,Camila Giorgi,Christina Mchale,3,"5-7,6-3,6-2",,2015-08-17,,Cincinnati,,,,,314610,,314917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS049,2015-08-17,R64,Kristina Mladenovic,Daniela Hantuchova,FRA,SVK,,,6-2,6-1,,,315616,80394,W-P5-USA-01A-2015,2015,Kristina Mladenovic,Daniela Hantuchova,FRA,SVK,,,,Kristina Mladenovic,Daniela Hantuchova,2,"6-2,6-1",,2015-08-17,,Cincinnati,,,,,315616,,80394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS059,2015-08-17,R64,Timea Babos,Samantha Stosur,HUN,AUS,,,7-6(6),4-6,7-5,,317070,190787,W-P5-USA-01A-2015,2015,Timea Babos,Samantha Stosur,HUN,AUS,,,Q,Timea Babos,Samantha Stosur,3,"7-6(6),4-6,7-5",,2015-08-17,,Cincinnati,,,,,317070,,190787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS056,2015-08-17,R64,Jelena Jankovic,Madison Brengle,SRB,USA,,,4-6,6-4,6-2,,100153,312328,W-P5-USA-01A-2015,2015,Jelena Jankovic,Madison Brengle,SRB,USA,,,,Jelena Jankovic,Madison Brengle,3,"4-6,6-4,6-2",,2015-08-17,,Cincinnati,,,,,100153,,312328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS057,2015-08-17,R64,Madison Keys,Timea Bacsinszky,USA,SUI,,12.0,6-4,6-3,,,316959,311579,W-P5-USA-01A-2015,2015,Madison Keys,Timea Bacsinszky,USA,SUI,,12.0,,Madison Keys,Timea Bacsinszky,2,"6-4,6-3",,2015-08-17,,Cincinnati,,,,,316959,,311579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS060,2015-08-17,R64,Anna Karolina Schmiedlova,Agnieszka Radwanska,SVK,POL,,13.0,4-6,6-3,6-1,,318203,312251,W-P5-USA-01A-2015,2015,Anna Karolina Schmiedlova,Agnieszka Radwanska,SVK,POL,,13.0,Q,Anna Karolina Schmiedlova,Agnieszka Radwanska,3,"4-6,6-3,6-1",,2015-08-17,,Cincinnati,,,,,318203,,312251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-P5-USA-01A-2015,2015,Cincinnati,P,2015-08-17,,Hard,,,56,,,LS061,2015-08-17,R64,Irina Camelia Begu,Alize Cornet,ROU,FRA,,,6-4,6-4,,,313169,312121,W-P5-USA-01A-2015,2015,Irina Camelia Begu,Alize Cornet,ROU,FRA,,,,Irina Camelia Begu,Alize Cornet,2,"6-4,6-4",,2015-08-17,,Cincinnati,,,,,313169,,312121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
