tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-ITA-01A-2010,2010,Rome,P,2010-05-03,,Clay,,,56,,,LS057,2010-05-03,R64,Timea Bacsinszky,Sandra Zahlavova,SUI,CZE,,,6-0,6-4,,,311579,260158,W-PR-ITA-01A-2010,2010,Timea Bacsinszky,Sandra Zahlavova,SUI,CZE,,,,Timea Bacsinszky,Sandra Zahlavova,2,"6-0,6-4",,2010-05-03,,Rome,,,,,311579,,260158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2010,2010,Rome,P,2010-05-03,,Clay,,,56,,,LS058,2010-05-03,R64,Andrea Petkovic,Vera Dushevina,GER,RUS,,,6-3,6-0,,,310770,310625,W-PR-ITA-01A-2010,2010,Andrea Petkovic,Vera Dushevina,GER,RUS,,,,Andrea Petkovic,Vera Dushevina,2,"6-3,6-0",,2010-05-03,,Rome,,,,,310770,,310625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2010,2010,Rome,P,2010-05-03,,Clay,,,56,,,LS059,2010-05-03,R64,Petra Kvitova,Vera Zvonareva,CZE,RUS,,15.0,6-4,6-0,,,314206,260142,W-PR-ITA-01A-2010,2010,Petra Kvitova,Vera Zvonareva,CZE,RUS,,15.0,,Petra Kvitova,Vera Zvonareva,2,"6-4,6-0",,2010-05-03,,Rome,,,,,314206,,260142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2010,2010,Rome,P,2010-05-03,,Clay,,,56,,,LS062,2010-05-03,R64,Dominika Cibulkova,Pauline Parmentier,SVK,FRA,,,6-1,3-6,7-5,,312894,160515,W-PR-ITA-01A-2010,2010,Dominika Cibulkova,Pauline Parmentier,SVK,FRA,,,,Dominika Cibulkova,Pauline Parmentier,3,"6-1,3-6,7-5",,2010-05-03,,Rome,,,,,312894,,160515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2010,2010,Rome,P,2010-05-03,,Clay,,,56,,,LS063,2010-05-03,R64,Alberta Brianti,Anastasia Pavlyuchenkova,ITA,RUS,,,6-4,7-6(5),,,20458,313796,W-PR-ITA-01A-2010,2010,Alberta Brianti,Anastasia Pavlyuchenkova,ITA,RUS,,,,Alberta Brianti,Anastasia Pavlyuchenkova,2,"6-4,7-6(5)",,2010-05-03,,Rome,,,,,20458,,313796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2010,2010,Rome,P,2010-05-03,,Clay,,,56,,,LS060,2010-05-03,R64,Maria Kirilenko,Romina Oprandi,RUS,SUI,,,6-1,6-3,,,310577,150185,W-PR-ITA-01A-2010,2010,Maria Kirilenko,Romina Oprandi,RUS,SUI,,,,Maria Kirilenko,Romina Oprandi,2,"6-1,6-3",,2010-05-03,,Rome,,,,,310577,,150185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2010,2010,Rome,P,2010-05-03,,Clay,,,56,,,LS053,2010-05-03,R64,Patty Schnyder,Gisela Dulko,SUI,ARG,,,6-7(5),6-2,7-6(5),,190519,40388,W-PR-ITA-01A-2010,2010,Patty Schnyder,Gisela Dulko,SUI,ARG,,,,Patty Schnyder,Gisela Dulko,3,"6-7(5),6-2,7-6(5)",,2010-05-03,,Rome,,,,,190519,,40388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2010,2010,Rome,P,2010-05-03,,Clay,,,56,,,LS055,2010-05-03,R64,Polona Hercog,Greta Arn,SLO,HUN,,,6-3,6-3,,,313968,10230,W-PR-ITA-01A-2010,2010,Polona Hercog,Greta Arn,SLO,HUN,,,,Polona Hercog,Greta Arn,2,"6-3,6-3",,2010-05-03,,Rome,,,,,313968,,10230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2010,2010,Rome,P,2010-05-03,,Clay,,,56,,,LS054,2010-05-03,R64,Shahar Peer,Corinna Dentoni,ISR,ITA,16.0,,6-2,6-1,,,311168,312123,W-PR-ITA-01A-2010,2010,Shahar Peer,Corinna Dentoni,ISR,ITA,16.0,,,Shahar Peer,Corinna Dentoni,2,"6-2,6-1",,2010-05-03,,Rome,,,,,311168,,312123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-ITA-01A-2010,2010,Rome,P,2010-05-03,,Clay,,,56,,,LS050,2010-05-03,R64,Yanina Wickmayer,Karolina Sprem,BEL,CRO,11.0,,6-3,1-6,6-4,,312536,190881,W-PR-ITA-01A-2010,2010,Yanina Wickmayer,Karolina Sprem,BEL,CRO,11.0,,,Yanina Wickmayer,Karolina Sprem,3,"6-3,1-6,6-4",,2010-05-03,,Rome,,,,,312536,,190881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
