tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS112,1991-08-26,R128,Steffi Graf,Andrea Temesvari,GER,HUN,1.0,,6-1,6-2,,,,,W-SL-USA-01A-1991,1991,Steffi Graf,Andrea Temesvari,GER,HUN,1.0,,,Steffi Graf,Andrea Temesvari,2,"6-1,6-2",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS113,1991-08-26,R128,Catherine Mothes Jobkel,Marion Maruska,FRA,AUT,,,6-3,6-4,,,,130032,W-SL-USA-01A-1991,1991,Catherine Mothes Jobkel,Marion Maruska,FRA,AUT,,,,Catherine Mothes Jobkel,Marion Maruska,2,"6-3,6-4",,1991-08-26,,US Open,,,,,,,130032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS115,1991-08-26,R128,Catarina Lindqvist Ryan,Rene Simpson,SWE,CAN,,,6-3,6-3,,,,,W-SL-USA-01A-1991,1991,Catarina Lindqvist Ryan,Rene Simpson,SWE,CAN,,,,Catarina Lindqvist Ryan,Rene Simpson,2,"6-3,6-3",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS114,1991-08-26,R128,Eva Sviglerova,Cathy Caverzasio,CZE,SUI,,,6-4,6-1,,,,,W-SL-USA-01A-1991,1991,Eva Sviglerova,Cathy Caverzasio,CZE,SUI,,,,Eva Sviglerova,Cathy Caverzasio,2,"6-4,6-1",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS116,1991-08-26,R128,Judith Wiesner,Alexia Dechaume Balleret,AUT,FRA,,,4-6,6-3,6-3,,,,W-SL-USA-01A-1991,1991,Judith Wiesner,Alexia Dechaume Balleret,AUT,FRA,,,,Judith Wiesner,Alexia Dechaume Balleret,3,"4-6,6-3,6-3",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS117,1991-08-26,R128,Shaun Stafford,Cristina Tessi,USA,ARG,,,6-3,6-3,,,,,W-SL-USA-01A-1991,1991,Shaun Stafford,Cristina Tessi,USA,ARG,,,,Shaun Stafford,Cristina Tessi,2,"6-3,6-3",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS119,1991-08-26,R128,Amy Frazier,Clare Wood,USA,GBR,,,6-3,7-6(2),,,60034,,W-SL-USA-01A-1991,1991,Amy Frazier,Clare Wood,USA,GBR,,,,Amy Frazier,Clare Wood,2,"6-3,7-6(2)",,1991-08-26,,US Open,,,,,60034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS118,1991-08-26,R128,Florencia Labat,Nathalie Tauziat,ARG,FRA,,14.0,7-5,6-4,,,,200011,W-SL-USA-01A-1991,1991,Florencia Labat,Nathalie Tauziat,ARG,FRA,,14.0,,Florencia Labat,Nathalie Tauziat,2,"7-5,6-4",,1991-08-26,,US Open,,,,,,,200011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS124,1991-08-26,R128,Zina Garrison,Sabine Appelmans,USA,BEL,12.0,,7-5,6-4,,,,10021,W-SL-USA-01A-1991,1991,Zina Garrison,Sabine Appelmans,USA,BEL,12.0,,,Zina Garrison,Sabine Appelmans,2,"7-5,6-4",,1991-08-26,,US Open,,,,,,,10021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS125,1991-08-26,R128,Sandra Cecchini,Monique Javer,ITA,GBR,,,7-6(2),6-1,,,,100008,W-SL-USA-01A-1991,1991,Sandra Cecchini,Monique Javer,ITA,GBR,,,,Sandra Cecchini,Monique Javer,2,"7-6(2),6-1",,1991-08-26,,US Open,,,,,,,100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS126,1991-08-26,R128,Barbara Rittner,Susan Sloane Lundy,GER,USA,,,6-4,6-1,,,180088,,W-SL-USA-01A-1991,1991,Barbara Rittner,Susan Sloane Lundy,GER,USA,,,,Barbara Rittner,Susan Sloane Lundy,2,"6-4,6-1",,1991-08-26,,US Open,,,,,180088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS127,1991-08-26,R128,Julie Halard Decugis,Amanda Coetzer,FRA,RSA,,,7-5,6-1,,,80005,30037,W-SL-USA-01A-1991,1991,Julie Halard Decugis,Amanda Coetzer,FRA,RSA,,,,Julie Halard Decugis,Amanda Coetzer,2,"7-5,6-1",,1991-08-26,,US Open,,,,,80005,,30037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS123,1991-08-26,R128,Karina Habsudova,Maya Kidowaki,SVK,JPN,,,6-1,6-4,,,80186,,W-SL-USA-01A-1991,1991,Karina Habsudova,Maya Kidowaki,SVK,JPN,,,,Karina Habsudova,Maya Kidowaki,2,"6-1,6-4",,1991-08-26,,US Open,,,,,80186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS122,1991-08-26,R128,Patty Fendick,Petra Thoren,USA,FIN,,,6-1,6-4,,,,,W-SL-USA-01A-1991,1991,Patty Fendick,Petra Thoren,USA,FIN,,,,Patty Fendick,Petra Thoren,2,"6-1,6-4",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS121,1991-08-26,R128,Yayuk Basuki,Audra Keller,INA,USA,,,6-4,6-3,,,20016,,W-SL-USA-01A-1991,1991,Yayuk Basuki,Audra Keller,INA,USA,,,,Yayuk Basuki,Audra Keller,2,"6-4,6-3",,1991-08-26,,US Open,,,,,20016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS120,1991-08-26,R128,Conchita Martinez,Cecilia Dahlman,ESP,SWE,8.0,,6-1,6-1,,,130113,,W-SL-USA-01A-1991,1991,Conchita Martinez,Cecilia Dahlman,ESP,SWE,8.0,,,Conchita Martinez,Cecilia Dahlman,2,"6-1,6-1",,1991-08-26,,US Open,,,,,130113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS104,1991-08-26,R128,Arantxa Sanchez Vicario,Katia Piccolini,ESP,ITA,4.0,,6-0,6-1,,,190008,,W-SL-USA-01A-1991,1991,Arantxa Sanchez Vicario,Katia Piccolini,ESP,ITA,4.0,,,Arantxa Sanchez Vicario,Katia Piccolini,2,"6-0,6-1",,1991-08-26,,US Open,,,,,190008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS105,1991-08-26,R128,Kristin Godridge,Liz Smylie,HKG,AUS,,,6-3,6-4,,,,,W-SL-USA-01A-1991,1991,Kristin Godridge,Liz Smylie,HKG,AUS,,,,Kristin Godridge,Liz Smylie,2,"6-3,6-4",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS107,1991-08-26,R128,Elena Brioukhovets,Lisa Bonder Kreiss,UKR,USA,,,6-3,6-0,,,,,W-SL-USA-01A-1991,1991,Elena Brioukhovets,Lisa Bonder Kreiss,UKR,USA,,,,Elena Brioukhovets,Lisa Bonder Kreiss,2,"6-3,6-0",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS106,1991-08-26,R128,Nathalie Herreman,Claudia Kohde Kilsch,FRA,GER,,,4-6,6-4,6-3,,,,W-SL-USA-01A-1991,1991,Nathalie Herreman,Claudia Kohde Kilsch,FRA,GER,,,LL,Nathalie Herreman,Claudia Kohde Kilsch,3,"4-6,6-4,6-3",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS110,1991-08-26,R128,Kimberly Po Messerli,Elise Burgin,USA,USA,,,6-4,6-4,,,160101,,W-SL-USA-01A-1991,1991,Kimberly Po Messerli,Elise Burgin,USA,USA,,,WC,Kimberly Po Messerli,Elise Burgin,2,"6-4,6-4",,1991-08-26,,US Open,,,,,160101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS111,1991-08-26,R128,Anne Smith,Petra Langrova,USA,TCH,,,6-4,7-5,,,190074,,W-SL-USA-01A-1991,1991,Anne Smith,Petra Langrova,USA,TCH,,,WC,Anne Smith,Petra Langrova,2,"6-4,7-5",,1991-08-26,,US Open,,,,,190074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS108,1991-08-26,R128,Natalia Zvereva,Wiltrud Probst,BLR,GER,,,6-1,7-6(5),,,,,W-SL-USA-01A-1991,1991,Natalia Zvereva,Wiltrud Probst,BLR,GER,,,,Natalia Zvereva,Wiltrud Probst,2,"6-1,7-6(5)",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS109,1991-08-26,R128,Anke Huber,Anne Minter,GER,AUS,16.0,,6-1,4-6,6-1,,80150,,W-SL-USA-01A-1991,1991,Anke Huber,Anne Minter,GER,AUS,16.0,,,Anke Huber,Anne Minter,3,"6-1,4-6,6-1",,1991-08-26,,US Open,,,,,80150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS100,1991-08-26,R128,Manuela Maleeva Fragniere,Sandra Birch,SUI,USA,10.0,,6-3,6-1,,,,,W-SL-USA-01A-1991,1991,Manuela Maleeva Fragniere,Sandra Birch,SUI,USA,10.0,,,Manuela Maleeva Fragniere,Sandra Birch,2,"6-3,6-1",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS101,1991-08-26,R128,Andrea Strnadova,Claudia Porwik,CZE,GER,,,6-3,6-2,,,,,W-SL-USA-01A-1991,1991,Andrea Strnadova,Claudia Porwik,CZE,GER,,,,Andrea Strnadova,Claudia Porwik,2,"6-3,6-2",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS102,1991-08-26,R128,Mary Pierce,Laura Garrone,FRA,ITA,,,4-6,6-0,7-6(2),,160142,,W-SL-USA-01A-1991,1991,Mary Pierce,Laura Garrone,FRA,ITA,,,,Mary Pierce,Laura Garrone,3,"4-6,6-0,7-6(2)",,1991-08-26,,US Open,,,,,160142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS103,1991-08-26,R128,Lori Mcneil,Robin White,USA,USA,,,6-2,6-2,,,,,W-SL-USA-01A-1991,1991,Lori Mcneil,Robin White,USA,USA,,,,Lori Mcneil,Robin White,2,"6-2,6-2",,1991-08-26,,US Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS099,1991-08-26,R128,Magdalena Maleeva,Karin Kschwendt,BUL,AUT,,,7-6(5),4-6,6-4,,130245,110053,W-SL-USA-01A-1991,1991,Magdalena Maleeva,Karin Kschwendt,BUL,AUT,,,,Magdalena Maleeva,Karin Kschwendt,3,"7-6(5),4-6,6-4",,1991-08-26,,US Open,,,,,130245,,110053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-USA-01A-1991,1991,US Open,G,1991-08-26,,Hard,,,128,,,LS098,1991-08-26,R128,Pam Shriver,Rika Hiraki,USA,JPN,,,6-1,6-1,,,,80037,W-SL-USA-01A-1991,1991,Pam Shriver,Rika Hiraki,USA,JPN,,,,Pam Shriver,Rika Hiraki,2,"6-1,6-1",,1991-08-26,,US Open,,,,,,,80037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
