tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-JPN-01A-1992,1992,Tokyo Pan Pacific,W,1992-01-28,,Carpet,,,28,,,LS017,1992-01-28,R32,Mana Endo,Jo Durie,JPN,GBR,,,6-4,6-1,,,,,W-WT-JPN-01A-1992,1992,Mana Endo,Jo Durie,JPN,GBR,,,,Mana Endo,Jo Durie,2,"6-4,6-1",,1992-01-28,,Tokyo Pan Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-01A-1992,1992,Tokyo Pan Pacific,W,1992-01-28,,Carpet,,,28,,,LS018,1992-01-28,R32,Pam Shriver,Carrie Cunningham,USA,USA,,,6-3,6-2,,,,,W-WT-JPN-01A-1992,1992,Pam Shriver,Carrie Cunningham,USA,USA,,,,Pam Shriver,Carrie Cunningham,2,"6-3,6-2",,1992-01-28,,Tokyo Pan Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-01A-1992,1992,Tokyo Pan Pacific,W,1992-01-28,,Carpet,,,28,,,LS019,1992-01-28,R32,Lori Mcneil,Karina Habsudova,USA,SVK,6.0,,7-5,6-3,,,,80186,W-WT-JPN-01A-1992,1992,Lori Mcneil,Karina Habsudova,USA,SVK,6.0,,,Lori Mcneil,Karina Habsudova,2,"7-5,6-3",,1992-01-28,,Tokyo Pan Pacific,,,,,,,80186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-01A-1992,1992,Tokyo Pan Pacific,W,1992-01-28,,Carpet,,,28,,,LS023,1992-01-28,R32,Rachel Mcquillan,Kumiko Okamoto,AUS,JPN,,,7-6,6-4,,,130050,,W-WT-JPN-01A-1992,1992,Rachel Mcquillan,Kumiko Okamoto,AUS,JPN,,,,Rachel Mcquillan,Kumiko Okamoto,2,"7-6,6-4",,1992-01-28,,Tokyo Pan Pacific,,,,,130050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-01A-1992,1992,Tokyo Pan Pacific,W,1992-01-28,,Carpet,,,28,,,LS020,1992-01-28,R32,Kimiko Date Krumm,Patty Fendick,JPN,USA,,,6-3,6-1,,,,,W-WT-JPN-01A-1992,1992,Kimiko Date Krumm,Patty Fendick,JPN,USA,,,,Kimiko Date Krumm,Patty Fendick,2,"6-3,6-1",,1992-01-28,,Tokyo Pan Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-01A-1992,1992,Tokyo Pan Pacific,W,1992-01-28,,Carpet,,,28,,,LS021,1992-01-28,R32,Rennae Stubbs,Natalia Zvereva,AUS,BLR,,7.0,6-4,7-6,,,190117,,W-WT-JPN-01A-1992,1992,Rennae Stubbs,Natalia Zvereva,AUS,BLR,,7.0,,Rennae Stubbs,Natalia Zvereva,2,"6-4,7-6",,1992-01-28,,Tokyo Pan Pacific,,,,,190117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-01A-1992,1992,Tokyo Pan Pacific,W,1992-01-28,,Carpet,,,28,,,LS030,1992-01-28,R32,Helena Sukova,Eva Sviglerova,CZE,CZE,5.0,,6-0,6-3,,,,,W-WT-JPN-01A-1992,1992,Helena Sukova,Eva Sviglerova,CZE,CZE,5.0,,,Helena Sukova,Eva Sviglerova,2,"6-0,6-3",,1992-01-28,,Tokyo Pan Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-01A-1992,1992,Tokyo Pan Pacific,W,1992-01-28,,Carpet,,,28,,,LS031,1992-01-28,R32,Shi Ting Wang,Anne Minter,TPE,AUS,,,6-2,7-5,,,230055,,W-WT-JPN-01A-1992,1992,Shi Ting Wang,Anne Minter,TPE,AUS,,,,Shi Ting Wang,Anne Minter,2,"6-2,7-5",,1992-01-28,,Tokyo Pan Pacific,,,,,230055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-01A-1992,1992,Tokyo Pan Pacific,W,1992-01-28,,Carpet,,,28,,,LS028,1992-01-28,R32,Magdalena Maleeva,Brenda Schultz Mccarthy,BUL,NED,,,7-6,6-4,,,130245,190038,W-WT-JPN-01A-1992,1992,Magdalena Maleeva,Brenda Schultz Mccarthy,BUL,NED,,,,Magdalena Maleeva,Brenda Schultz Mccarthy,2,"7-6,6-4",,1992-01-28,,Tokyo Pan Pacific,,,,,130245,,190038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-01A-1992,1992,Tokyo Pan Pacific,W,1992-01-28,,Carpet,,,28,,,LS026,1992-01-28,R32,Laura Arraya,Mareen Louie Harper,PER,USA,8.0,,,,,,,,W-WT-JPN-01A-1992,1992,Laura Arraya,Mareen Louie Harper,PER,USA,8.0,,,Laura Arraya,Mareen Louie Harper,,,,1992-01-28,,Tokyo Pan Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
