tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS022,2015-09-28,R32,Annika Beck,Elizaveta Kulichkova,GER,RUS,1.0,,6-3,6-1,,,316979,319600,W-INT-UZB-01A-2015,2015,Annika Beck,Elizaveta Kulichkova,GER,RUS,1.0,,,Annika Beck,Elizaveta Kulichkova,2,"6-3,6-1",,2015-09-28,,Tashkent,,,,,316979,,319600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS023,2015-09-28,R32,Jana Cepelova,Sabina Sharipova,SVK,UZB,,,6-2,6-1,,,316774,316627,W-INT-UZB-01A-2015,2015,Jana Cepelova,Sabina Sharipova,SVK,UZB,,,,Jana Cepelova,Sabina Sharipova,2,"6-2,6-1",,2015-09-28,,Tashkent,,,,,316774,,316627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS021,2015-09-28,R32,Aleksandra Krunic,Anett Kontaveit,SRB,EST,,,6-2,6-4,,,316344,318425,W-INT-UZB-01A-2015,2015,Aleksandra Krunic,Anett Kontaveit,SRB,EST,,,,Aleksandra Krunic,Anett Kontaveit,2,"6-2,6-4",,2015-09-28,,Tashkent,,,,,316344,,318425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS020,2015-09-28,R32,Bojana Jovanovski,Jelena Ostapenko,SRB,LAT,,7.0,4-6,6-2,7-5,,,319939,W-INT-UZB-01A-2015,2015,Bojana Jovanovski,Jelena Ostapenko,SRB,LAT,,7.0,,Bojana Jovanovski,Jelena Ostapenko,3,"4-6,6-2,7-5",,2015-09-28,,Tashkent,,,,,,,319939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS017,2015-09-28,R32,Aliaksandra Sasnovich,Polona Hercog,BLR,SLO,,3.0,4-6,6-3,6-3,,317790,313968,W-INT-UZB-01A-2015,2015,Aliaksandra Sasnovich,Polona Hercog,BLR,SLO,,3.0,,Aliaksandra Sasnovich,Polona Hercog,3,"4-6,6-3,6-3",,2015-09-28,,Tashkent,,,,,317790,,313968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS016,2015-09-28,R32,Nao Hibino,Anhelina Kalinina,JPN,UKR,,,6-4,6-4,,,320238,320567,W-INT-UZB-01A-2015,2015,Nao Hibino,Anhelina Kalinina,JPN,UKR,,,,Nao Hibino,Anhelina Kalinina,2,"6-4,6-4",,2015-09-28,,Tashkent,,,,,320238,,320567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS018,2015-09-28,R32,Kateryna Baindl,Klara Koukalova,UKR,CZE,,,6-4,6-0,,,316739,110492,W-INT-UZB-01A-2015,2015,Kateryna Baindl,Klara Koukalova,UKR,CZE,,,Q,Kateryna Baindl,Klara Koukalova,2,"6-4,6-0",,2015-09-28,,Tashkent,,,,,316739,,110492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS019,2015-09-28,R32,Katerina Siniakova,Paula Kania,CZE,POL,5.0,,6-2,7-6(5),,,320301,,W-INT-UZB-01A-2015,2015,Katerina Siniakova,Paula Kania,CZE,POL,5.0,,,Katerina Siniakova,Paula Kania,2,"6-2,7-6(5)",,2015-09-28,,Tashkent,,,,,320301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS029,2015-09-28,R32,Yaroslava Shvedova,Cristina Andreea Mitu,KAZ,ROU,,8.0,7-5,6-3,,,311137,,W-INT-UZB-01A-2015,2015,Yaroslava Shvedova,Cristina Andreea Mitu,KAZ,ROU,,8.0,,Yaroslava Shvedova,Cristina Andreea Mitu,2,"7-5,6-3",,2015-09-28,,Tashkent,,,,,311137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS028,2015-09-28,R32,Evgeniya Rodina,Urszula Radwanska,RUS,POL,,,6-2,6-4,,,312584,313131,W-INT-UZB-01A-2015,2015,Evgeniya Rodina,Urszula Radwanska,RUS,POL,,,,Evgeniya Rodina,Urszula Radwanska,2,"6-2,6-4",,2015-09-28,,Tashkent,,,,,312584,,313131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-INT-UZB-01A-2015,2015,Tashkent,I,2015-09-28,,Hard,,,32,,,LS031,2015-09-28,R32,Nigina Abduraimova,Petra Martic,UZB,CRO,,,6-4,6-0,,,316664,313711,W-INT-UZB-01A-2015,2015,Nigina Abduraimova,Petra Martic,UZB,CRO,,,WC,Nigina Abduraimova,Petra Martic,2,"6-4,6-0",,2015-09-28,,Tashkent,,,,,316664,,313711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
