tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T3-NED-01A-2003,2003,s Hertogenbosch,T3,2003-06-16,,Grass,,,30,,,LS017,2003-06-16,R32,Cara Black,Henrieta Nagyova,ZIM,SVK,,,6-3,6-2,,,20351,140145,W-T3-NED-01A-2003,2003,Cara Black,Henrieta Nagyova,ZIM,SVK,,,,Cara Black,Henrieta Nagyova,2,"6-3,6-2",,2003-06-16,,s Hertogenbosch,,,,,20351,,140145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2003,2003,s Hertogenbosch,T3,2003-06-16,,Grass,,,30,,,LS018,2003-06-16,R32,Tina Pisnik,Flavia Pennetta,SLO,ITA,,,6-3,6-1,,,160339,160391,W-T3-NED-01A-2003,2003,Tina Pisnik,Flavia Pennetta,SLO,ITA,,,,Tina Pisnik,Flavia Pennetta,2,"6-3,6-1",,2003-06-16,,s Hertogenbosch,,,,,160339,,160391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2003,2003,s Hertogenbosch,T3,2003-06-16,,Grass,,,30,,,LS019,2003-06-16,R32,Katarina Srebotnik,Maja Matevzic,SLO,SLO,8.0,,6-2,6-4,,,190636,130556,W-T3-NED-01A-2003,2003,Katarina Srebotnik,Maja Matevzic,SLO,SLO,8.0,,,Katarina Srebotnik,Maja Matevzic,2,"6-2,6-4",,2003-06-16,,s Hertogenbosch,,,,,190636,,130556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2003,2003,s Hertogenbosch,T3,2003-06-16,,Grass,,,30,,,LS021,2003-06-16,R32,Amelie Mauresmo,Marion Bartoli,FRA,FRA,3.0,,1-6,7-6(5),6-4,,130450,20631,W-T3-NED-01A-2003,2003,Amelie Mauresmo,Marion Bartoli,FRA,FRA,3.0,,,Amelie Mauresmo,Marion Bartoli,3,"1-6,7-6(5),6-4",,2003-06-16,,s Hertogenbosch,,,,,130450,,20631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2003,2003,s Hertogenbosch,T3,2003-06-16,,Grass,,,30,,,LS020,2003-06-16,R32,Barbara Rittner,Rita Grande,GER,ITA,,,6-1,6-3,,,180088,70192,W-T3-NED-01A-2003,2003,Barbara Rittner,Rita Grande,GER,ITA,,,A,Barbara Rittner,Rita Grande,2,"6-1,6-3",,2003-06-16,,s Hertogenbosch,,,,,180088,,70192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2003,2003,s Hertogenbosch,T3,2003-06-16,,Grass,,,30,,,LS023,2003-06-16,R32,Anca Barna,Virginia Ruano Pascual,GER,ESP,,,6-1,6-0,,,20113,180160,W-T3-NED-01A-2003,2003,Anca Barna,Virginia Ruano Pascual,GER,ESP,,,,Anca Barna,Virginia Ruano Pascual,2,"6-1,6-0",,2003-06-16,,s Hertogenbosch,,,,,20113,,180160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2003,2003,s Hertogenbosch,T3,2003-06-16,,Grass,,,30,,,LS022,2003-06-16,R32,Iroda Tulyaganova,Lina Krasnoroutskaya,UZB,RUS,6.0,,6-3,6-0,,,200265,110489,W-T3-NED-01A-2003,2003,Iroda Tulyaganova,Lina Krasnoroutskaya,UZB,RUS,6.0,,,Iroda Tulyaganova,Lina Krasnoroutskaya,2,"6-3,6-0",,2003-06-16,,s Hertogenbosch,,,,,200265,,110489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2003,2003,s Hertogenbosch,T3,2003-06-16,,Grass,,,30,,,LS028,2003-06-16,R32,Nadia Petrova,Angelique Widjaja,RUS,INA,5.0,,6-4,3-6,6-2,,160379,230272,W-T3-NED-01A-2003,2003,Nadia Petrova,Angelique Widjaja,RUS,INA,5.0,,WC,Nadia Petrova,Angelique Widjaja,3,"6-4,3-6,6-2",,2003-06-16,,s Hertogenbosch,,,,,160379,,230272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2003,2003,s Hertogenbosch,T3,2003-06-16,,Grass,,,30,,,LS029,2003-06-16,R32,Stephanie Cohen Aloro,Iveta Benesova,FRA,CZE,,,7-5,6-2,,,30501,,W-T3-NED-01A-2003,2003,Stephanie Cohen Aloro,Iveta Benesova,FRA,CZE,,,,Stephanie Cohen Aloro,Iveta Benesova,2,"7-5,6-2",,2003-06-16,,s Hertogenbosch,,,,,30501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-NED-01A-2003,2003,s Hertogenbosch,T3,2003-06-16,,Grass,,,30,,,LS031,2003-06-16,R32,Els Callens,Yoon Jeong Cho,BEL,KOR,,,6-4,6-1,,,30003,30419,W-T3-NED-01A-2003,2003,Els Callens,Yoon Jeong Cho,BEL,KOR,,,,Els Callens,Yoon Jeong Cho,2,"6-4,6-1",,2003-06-16,,s Hertogenbosch,,,,,30003,,30419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
