tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS001,2022-10-02,F,Barbora Krejcikova,Anett Kontaveit,CZE,EST,7.0,1.0,6-2,6-3,,I,318314,318425,2073,2022,Anett Kontaveit,Barbora Krejcikova,EST,CZE,1,7,3,Barbora Krejcikova,Anett Kontaveit,2,"6-2,6-3",2022-10-02T10:48:19.643+00:00,2022-10-02,01:21:39,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,318425,,318314,,00:29:41,6,2,0,,1.0,1.0,1.0,1.0,9.0,9.0,10.0,15.0,16.0,12.0,18.0,25.0,2.0,0.0,2.0,0.0,4.0,4.0,1.0,6.0,29.0,14.0,0.0,0.0,00:51:36,6,3,0,,3.0,1.0,2.0,2.0,9.0,13.0,14.0,23.0,17.0,18.0,28.0,41.0,3.0,2.0,7.0,3.0,5.0,4.0,5.0,10.0,40.0,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS002,2022-10-01,S,Anett Kontaveit,Kaia Kanepi,EST,EST,1.0,,6-4,6-4,,I,318425,110536,2073,2022,Anett Kontaveit,Kaia Kanepi,EST,EST,1,,2,Anett Kontaveit,Kaia Kanepi,2,"6-4,6-4",2022-10-01T15:29:35.737+00:00,2022-10-01,01:20:21,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,318425,,110536,,00:42:34,6,4,,0,3.0,1.0,1.0,2.0,16.0,11.0,23.0,14.0,21.0,16.0,35.0,30.0,2.0,1.0,4.0,2.0,5.0,5.0,7.0,3.0,35.0,30.0,0.0,0.0,00:37:32,6,4,,0,2.0,3.0,1.0,2.0,14.0,14.0,20.0,18.0,22.0,17.0,30.0,26.0,1.0,0.0,1.0,0.0,5.0,5.0,6.0,4.0,31.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS003,2022-10-01,S,Barbora Krejcikova,Belinda Bencic,CZE,SUI,7.0,2.0,6-7(5),7-6(2),6-2,I,318314,319001,2073,2022,Barbora Krejcikova,Belinda Bencic,CZE,SUI,7,2,2,Barbora Krejcikova,Belinda Bencic,3,"6-7(5),7-6(2),6-2",2022-10-01T09:49:29.21+00:00,2022-10-01,03:22:33,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,318314,,319001,,01:16:39,6,7,,5,2.0,2.0,4.0,5.0,15.0,24.0,22.0,35.0,27.0,35.0,41.0,59.0,1.0,1.0,9.0,2.0,6.0,6.0,7.0,11.0,51.0,49.0,0.0,0.0,01:16:39,7,6,,2,3.0,7.0,5.0,4.0,25.0,32.0,31.0,40.0,31.0,35.0,45.0,57.0,0.0,0.0,3.0,0.0,6.0,6.0,6.0,8.0,53.0,49.0,0.0,0.0,,,,,,,00:48:57,6,2,,0,1.0,1.0,1.0,1.0,10.0,12.0,11.0,17.0,16.0,18.0,22.0,34.0,2.0,0.0,8.0,0.0,4.0,4.0,1.0,5.0,32.0,24.0,0.0,0.0,,,,,,10.0,10.0,6.0,10.0,64.0,92.0,108.0,150.0,0.5925925925925926,0.6133333333333333,50.0,68.0,64.0,92.0,0.78125,0.7391304347826086,,,,,,,1.0,22,0.045454545454545456,16.0,16.0,,,,,,,7.0,5.0,7.0,2.0,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS004,2022-09-30,Q,Anett Kontaveit,Ysaline Bonaventure,EST,BEL,1.0,,6-3,3-6,6-3,I,318425,317317,2073,2022,Anett Kontaveit,Ysaline Bonaventure,EST,BEL,1,,2,Anett Kontaveit,Ysaline Bonaventure,3,"6-3,3-6,6-3",2022-09-30T14:49:40.503+00:00,2022-09-30,01:53:03,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,318425,,317317,,00:30:03,6,3,,0,2.0,1.0,0.0,4.0,14.0,7.0,17.0,12.0,20.0,16.0,25.0,26.0,1.0,0.0,1.0,0.0,5.0,4.0,3.0,5.0,30.0,21.0,0.0,0.0,00:36:46,3,6,,0,1.0,0.0,2.0,2.0,8.0,14.0,13.0,22.0,12.0,21.0,23.0,33.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,8.0,24.0,32.0,0.0,0.0,,,,,,,00:46:02,6,3,,0,2.0,1.0,2.0,3.0,21.0,10.0,30.0,15.0,25.0,18.0,39.0,32.0,1.0,0.0,1.0,4.0,5.0,4.0,9.0,5.0,39.0,32.0,0.0,0.0,,,,,,4.0,9.0,5.0,2.0,60.0,49.0,87.0,91.0,0.6896551724137931,0.5384615384615384,43.0,31.0,60.0,49.0,0.7166666666666667,0.6326530612244898,,,,,,,6.0,13,0.46153846153846156,14.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS005,2022-09-30,Q,Kaia Kanepi,Karolina Muchova,EST,CZE,,,6-2,3-6,7-6(6),I,110536,322191,2073,2022,Karolina Muchova,Kaia Kanepi,CZE,EST,,,3,Kaia Kanepi,Karolina Muchova,3,"6-2,3-6,7-6(6)",2022-09-30T17:10:04.45+00:00,2022-09-30,02:21:51,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,322191,,110536,,00:30:42,6,2,0,,1.0,2.0,1.0,1.0,13.0,7.0,18.0,15.0,18.0,10.0,25.0,20.0,2.0,0.0,3.0,3.0,4.0,4.0,5.0,8.0,28.0,17.0,0.0,0.0,00:44:47,3,6,0,,1.0,2.0,2.0,1.0,8.0,16.0,16.0,20.0,13.0,21.0,27.0,33.0,1.0,2.0,3.0,3.0,4.0,5.0,8.0,4.0,25.0,35.0,0.0,0.0,,,,,,,01:06:00,7,6,6,,2.0,1.0,1.0,0.0,18.0,21.0,23.0,28.0,27.0,29.0,36.0,44.0,0.0,0.0,3.0,0.0,6.0,6.0,5.0,7.0,42.0,38.0,0.0,0.0,,,,,,4.0,2.0,4.0,5.0,57.0,63.0,88.0,97.0,0.6477272727272727,0.6494845360824743,39.0,44.0,57.0,63.0,0.6842105263157895,0.6984126984126984,,,,,,,4.0,15,0.26666666666666666,14.0,15.0,,,,,,,,,,,8.0,6.0,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS006,2022-09-30,Q,Barbora Krejcikova,Beatriz Haddad Maia,CZE,BRA,7.0,3.0,6-3,6-4,,I,318314,318176,2073,2022,Barbora Krejcikova,Beatriz Haddad Maia,CZE,BRA,7,3,2,Barbora Krejcikova,Beatriz Haddad Maia,2,"6-3,6-4",2022-09-30T09:42:46.143+00:00,2022-09-30,01:23:59,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,318314,,318176,,00:36:43,6,3,,0,0.0,2.0,1.0,0.0,9.0,10.0,10.0,20.0,16.0,16.0,18.0,29.0,2.0,0.0,4.0,0.0,4.0,5.0,1.0,10.0,29.0,18.0,0.0,0.0,00:46:59,6,4,,0,1.0,1.0,1.0,0.0,13.0,12.0,18.0,21.0,18.0,18.0,26.0,31.0,2.0,1.0,3.0,2.0,5.0,5.0,5.0,9.0,31.0,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS007,2022-09-30,Q,Belinda Bencic,Donna Vekic,SUI,CRO,2.0,2.0,6-4,6-1,,I,319001,318516,2073,2022,Donna Vekic,Belinda Bencic,CRO,SUI,,2,3,Belinda Bencic,Donna Vekic,2,"6-4,6-1",2022-09-30T07:49:14.657+00:00,2022-09-30,01:31:06,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,318516,,319001,,00:50:28,6,4,0,,3.0,1.0,4.0,2.0,9.0,10.0,20.0,18.0,15.0,13.0,34.0,33.0,4.0,3.0,7.0,7.0,5.0,5.0,11.0,8.0,35.0,32.0,0.0,0.0,00:40:27,6,1,0,,2.0,0.0,3.0,1.0,14.0,6.0,17.0,12.0,20.0,10.0,30.0,20.0,2.0,0.0,5.0,3.0,4.0,3.0,3.0,6.0,30.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS008,2022-09-29,2,Anett Kontaveit,Tereza Martincova,EST,CZE,1.0,,6-2,6-1,,I,318425,318060,2073,2022,Anett Kontaveit,Tereza Martincova,EST,CZE,1,,2,Anett Kontaveit,Tereza Martincova,2,"6-2,6-1",2022-09-29T14:49:25.96+00:00,2022-09-29,01:08:12,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,318425,,318060,,00:37:18,6,2,,0,1.0,0.0,1.0,0.0,13.0,10.0,17.0,20.0,17.0,12.0,27.0,27.0,3.0,1.0,6.0,3.0,4.0,4.0,4.0,10.0,32.0,22.0,0.0,0.0,00:30:39,6,1,,0,0.0,1.0,1.0,1.0,8.0,7.0,12.0,22.0,9.0,10.0,15.0,29.0,4.0,1.0,7.0,1.0,3.0,4.0,4.0,15.0,28.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS009,2022-09-29,2,Ysaline Bonaventure,Jil Teichmann,BEL,SUI,,9.0,7-6(8),6-3,,I,317317,320926,2073,2022,Ysaline Bonaventure,Jil Teichmann,BEL,SUI,,9,2,Ysaline Bonaventure,Jil Teichmann,2,"7-6(8),6-3",2022-09-29T07:49:49.717+00:00,2022-09-29,01:28:39,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,317317,,320926,,00:55:37,7,6,,8,1.0,0.0,8.0,0.0,13.0,14.0,23.0,25.0,18.0,22.0,40.0,42.0,3.0,3.0,3.0,4.0,6.0,6.0,10.0,11.0,38.0,44.0,0.0,0.0,00:32:50,6,3,,0,3.0,1.0,2.0,1.0,14.0,8.0,17.0,16.0,18.0,12.0,26.0,24.0,2.0,1.0,2.0,1.0,5.0,4.0,3.0,8.0,30.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,10.0,8.0,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS010,2022-09-28,2,Karolina Muchova,Viktorija Golubic,CZE,SUI,,,4-6,6-0,6-2,I,322191,316296,2073,2022,Viktorija Golubic,Karolina Muchova,SUI,CZE,,,3,Karolina Muchova,Viktorija Golubic,3,"4-6,6-0,6-2",2022-09-28T10:01:23.697+00:00,2022-09-28,01:56:09,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,316296,,322191,,00:46:38,4,6,0,,1.0,0.0,1.0,0.0,12.0,20.0,20.0,28.0,15.0,24.0,27.0,39.0,1.0,2.0,5.0,2.0,5.0,5.0,8.0,8.0,30.0,36.0,0.0,0.0,00:32:41,6,0,0,,2.0,0.0,1.0,0.0,7.0,6.0,9.0,18.0,13.0,8.0,20.0,23.0,3.0,0.0,6.0,0.0,3.0,3.0,2.0,12.0,28.0,15.0,0.0,0.0,,,,,,,00:36:33,6,2,0,,2.0,0.0,3.0,0.0,11.0,7.0,15.0,20.0,15.0,8.0,24.0,22.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,13.0,29.0,17.0,0.0,0.0,,,,,,5.0,0.0,5.0,0.0,44.0,66.0,71.0,84.0,0.6197183098591549,0.7857142857142857,30.0,33.0,44.0,66.0,0.6818181818181818,0.5,,,,,,,1.0,19,0.05263157894736842,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS011,2022-09-29,2,Kaia Kanepi,Ann Li,EST,USA,,,7-5,7-5,,I,110536,326096,2073,2022,Ann Li,Kaia Kanepi,USA,EST,,,3,Kaia Kanepi,Ann Li,2,"7-5,7-5",2022-09-29T11:19:37.43+00:00,2022-09-29,01:40:35,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,326096,,110536,,00:43:33,7,5,0,,1.0,2.0,2.0,3.0,13.0,11.0,18.0,17.0,25.0,18.0,38.0,29.0,2.0,1.0,2.0,2.0,6.0,6.0,5.0,6.0,36.0,31.0,0.0,0.0,00:56:43,7,5,0,,1.0,0.0,2.0,1.0,17.0,14.0,27.0,17.0,25.0,20.0,42.0,38.0,3.0,2.0,4.0,6.0,6.0,6.0,10.0,3.0,43.0,37.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS012,2022-09-28,2,Barbora Krejcikova,Marta Kostyuk,CZE,UKR,7.0,,7-5,6-3,,I,318314,326482,2073,2022,Barbora Krejcikova,Marta Kostyuk,CZE,UKR,7,,2,Barbora Krejcikova,Marta Kostyuk,2,"7-5,6-3",2022-09-28T17:15:36.43+00:00,2022-09-28,01:40:25,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,318314,,326482,,00:59:39,7,5,,0,1.0,0.0,5.0,5.0,20.0,15.0,31.0,20.0,27.0,21.0,47.0,38.0,2.0,1.0,4.0,7.0,6.0,6.0,11.0,5.0,44.0,41.0,0.0,0.0,00:40:37,6,3,,0,0.0,2.0,0.0,3.0,12.0,15.0,14.0,24.0,16.0,19.0,19.0,36.0,2.0,0.0,4.0,0.0,4.0,5.0,2.0,9.0,33.0,22.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS013,2022-09-28,2,Beatriz Haddad Maia,Linda Noskova,BRA,CZE,3.0,3.0,6-1,7-5,,I,318176,329668,2073,2022,Linda Noskova,Beatriz Haddad Maia,CZE,BRA,,3,3,Beatriz Haddad Maia,Linda Noskova,2,"6-1,7-5",2022-09-28T10:54:12.187+00:00,2022-09-28,01:27:44,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,329668,,318176,,00:24:27,6,1,0,,1.0,0.0,0.0,1.0,14.0,3.0,18.0,9.0,18.0,6.0,24.0,15.0,2.0,0.0,4.0,2.0,4.0,3.0,4.0,6.0,27.0,12.0,0.0,0.0,01:03:09,7,5,0,,2.0,1.0,2.0,2.0,16.0,18.0,24.0,24.0,29.0,22.0,46.0,37.0,2.0,1.0,3.0,7.0,6.0,6.0,8.0,6.0,44.0,39.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS014,2022-09-29,2,Donna Vekic,Shuai Zhang,CRO,CHN,8.0,8.0,6-2,6-4,,I,318516,311779,2073,2022,Shuai Zhang,Donna Vekic,CHN,CRO,8,,3,Donna Vekic,Shuai Zhang,2,"6-2,6-4",2022-09-29T09:39:05.947+00:00,2022-09-29,01:20:26,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,311779,,318516,,00:33:02,6,2,0,,4.0,0.0,3.0,3.0,11.0,10.0,13.0,18.0,19.0,13.0,26.0,28.0,2.0,0.0,3.0,3.0,4.0,4.0,2.0,8.0,34.0,20.0,0.0,0.0,00:47:11,6,4,0,,4.0,0.0,1.0,3.0,13.0,12.0,19.0,21.0,19.0,16.0,33.0,34.0,3.0,2.0,4.0,5.0,5.0,5.0,6.0,9.0,37.0,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS015,2022-09-28,2,Belinda Bencic,Katie Boulter,SUI,GBR,2.0,2.0,6-4,6-7(2),6-3,I,319001,319125,2073,2022,Katie Boulter,Belinda Bencic,GBR,SUI,,2,3,Belinda Bencic,Katie Boulter,3,"6-4,6-7(2),6-3",2022-09-28T07:49:07.047+00:00,2022-09-28,02:44:20,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,319125,,319001,,00:51:28,6,4,0,,2.0,2.0,3.0,2.0,15.0,9.0,23.0,10.0,25.0,18.0,38.0,28.0,1.0,0.0,1.0,2.0,5.0,5.0,8.0,1.0,35.0,31.0,0.0,0.0,01:07:09,6,7,2,,2.0,3.0,5.0,2.0,17.0,18.0,23.0,22.0,23.0,28.0,40.0,48.0,2.0,2.0,9.0,4.0,6.0,6.0,6.0,4.0,43.0,45.0,0.0,0.0,,,,,,,00:45:00,6,3,0,,1.0,0.0,2.0,0.0,12.0,9.0,18.0,14.0,19.0,11.0,31.0,20.0,2.0,1.0,2.0,3.0,5.0,4.0,6.0,5.0,28.0,23.0,0.0,0.0,,,,,,10.0,4.0,5.0,5.0,64.0,46.0,109.0,96.0,0.5871559633027523,0.4791666666666667,44.0,36.0,64.0,46.0,0.6875,0.782608695652174,,,,,,,6.0,21,0.2857142857142857,16.0,15.0,,,,,,,,,7.0,2.0,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS016,2022-09-27,1,Anett Kontaveit,Xiyu Wang,EST,CHN,1.0,,3-6,6-2,7-5,I,318425,326160,2073,2022,Anett Kontaveit,Xiyu Wang,EST,CHN,1,,2,Anett Kontaveit,Xiyu Wang,3,"3-6,6-2,7-5",2022-09-27T16:12:24.27+00:00,2022-09-27,02:17:05,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,318425,,326160,,00:44:53,3,6,,0,2.0,1.0,1.0,1.0,9.0,14.0,17.0,19.0,16.0,17.0,33.0,28.0,1.0,3.0,3.0,7.0,5.0,4.0,8.0,5.0,27.0,34.0,0.0,0.0,00:34:49,6,2,,0,0.0,3.0,0.0,1.0,16.0,7.0,18.0,12.0,18.0,10.0,25.0,21.0,2.0,0.0,2.0,1.0,4.0,4.0,2.0,5.0,29.0,17.0,0.0,0.0,,,,,,,00:57:19,7,5,,0,2.0,0.0,2.0,2.0,21.0,13.0,32.0,20.0,27.0,14.0,46.0,27.0,3.0,2.0,4.0,7.0,6.0,6.0,11.0,7.0,40.0,33.0,0.0,0.0,,,,,,3.0,4.0,4.0,4.0,67.0,51.0,104.0,76.0,0.6442307692307693,0.6710526315789473,46.0,34.0,67.0,51.0,0.6865671641791045,0.6666666666666666,,,,,,,10.0,24,0.4166666666666667,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS017,2022-09-27,1,Tereza Martincova,Mirjam Bjorklund,CZE,SWE,,,7-6(6),6-3,,I,318060,323007,2073,2022,Mirjam Bjorklund,Tereza Martincova,SWE,CZE,,,3,Tereza Martincova,Mirjam Bjorklund,2,"7-6(6),6-3",2022-09-27T07:45:24.83+00:00,2022-09-27,01:37:48,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,323007,,318060,,00:56:09,7,6,6,,0.0,3.0,3.0,2.0,18.0,19.0,31.0,32.0,24.0,26.0,41.0,45.0,2.0,2.0,4.0,3.0,6.0,6.0,13.0,13.0,43.0,43.0,0.0,0.0,00:41:27,6,3,0,,1.0,2.0,1.0,1.0,11.0,12.0,12.0,20.0,16.0,18.0,20.0,33.0,2.0,0.0,2.0,0.0,4.0,5.0,1.0,8.0,31.0,22.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,8.0,6.0,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS018,2022-09-27,1,Ysaline Bonaventure,Shelby Rogers,BEL,USA,,,6-4,6-4,,I,317317,317421,2073,2022,Ysaline Bonaventure,Shelby Rogers,BEL,USA,,,2,Ysaline Bonaventure,Shelby Rogers,2,"6-4,6-4",2022-09-27T09:48:25.863+00:00,2022-09-27,01:28:41,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,317317,,317421,,00:44:12,6,4,,0,2.0,0.0,2.0,2.0,11.0,15.0,16.0,22.0,18.0,22.0,29.0,40.0,2.0,1.0,6.0,1.0,5.0,5.0,5.0,7.0,36.0,33.0,0.0,0.0,00:44:13,6,4,,0,0.0,1.0,0.0,1.0,16.0,15.0,20.0,24.0,22.0,18.0,30.0,31.0,1.0,0.0,3.0,1.0,5.0,5.0,4.0,9.0,35.0,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,2022,TALLINN,WTA 250,2022-09-26,2022-10-02,Hard,TALLINN,ESTONIA,32,251750,USD,LS019,2022-09-27,1,Jil Teichmann,Laura Siegemund,SUI,GER,9.0,9.0,6-4,7-6(7),,I,320926,310926,2073,2022,Laura Siegemund,Jil Teichmann,GER,SUI,,9,3,Jil Teichmann,Laura Siegemund,2,"6-4,7-6(7)",2022-09-27T07:45:45.113+00:00,2022-09-27,02:10:24,TALLINN,"Tallinn Open - Tallinn, Estonia",2073,,,310926,,320926,,00:55:46,6,4,0,,0.0,1.0,0.0,3.0,12.0,18.0,17.0,31.0,18.0,23.0,27.0,44.0,2.0,1.0,10.0,1.0,5.0,5.0,5.0,13.0,39.0,32.0,0.0,0.0,01:14:19,7,6,7,,1.0,0.0,1.0,2.0,17.0,15.0,25.0,25.0,27.0,28.0,40.0,44.0,2.0,2.0,2.0,2.0,6.0,6.0,8.0,10.0,43.0,41.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,9.0,7.0,,,,,,,,,,,,,
