tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS024,1998-04-13,R32,Fang Li,Pavlina Nola,CHN,NZL,1.0,,6-1,6-1,,,120117,190500,W-WT-CRO-01A-1998,1998,Fang Li,Pavlina Nola,CHN,NZL,1.0,,,Fang Li,Pavlina Nola,2,"6-1,6-1",,1998-04-13,,Makarska,,,,,120117,,190500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS025,1998-04-13,R32,Antonella Serra Zanetti,Radka Bobkova,ITA,CZE,,,3-6,6-3,6-3,,190613,20114,W-WT-CRO-01A-1998,1998,Antonella Serra Zanetti,Radka Bobkova,ITA,CZE,,,Q,Antonella Serra Zanetti,Radka Bobkova,3,"3-6,6-3,6-3",,1998-04-13,,Makarska,,,,,190613,,20114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS026,1998-04-13,R32,Paola Suarez,Sandra Dopfer,ARG,AUT,,,7-5,6-1,,,190360,,W-WT-CRO-01A-1998,1998,Paola Suarez,Sandra Dopfer,ARG,AUT,,,,Paola Suarez,Sandra Dopfer,2,"7-5,6-1",,1998-04-13,,Makarska,,,,,190360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS027,1998-04-13,R32,Julia Abe,Elena Pampoulova,GER,BUL,,8,6-3,6-1,,,10143,,W-WT-CRO-01A-1998,1998,Julia Abe,Elena Pampoulova,GER,BUL,,8,LL,Julia Abe,Elena Pampoulova,2,"6-3,6-1",,1998-04-13,,Makarska,,,,,10143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS028,1998-04-13,R32,Gala Leon Garcia,Karin Kschwendt,ESP,AUT,4.0,,6-1,4-6,6-4,,120176,110053,W-WT-CRO-01A-1998,1998,Gala Leon Garcia,Karin Kschwendt,ESP,AUT,4.0,,,Gala Leon Garcia,Karin Kschwendt,3,"6-1,4-6,6-4",,1998-04-13,,Makarska,,,,,120176,,110053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS029,1998-04-13,R32,Jelena Kostanic Tosic,Silvija Talaja,CRO,CRO,,,6-4,6-0,,,110380,200160,W-WT-CRO-01A-1998,1998,Jelena Kostanic Tosic,Silvija Talaja,CRO,CRO,,,WC,Jelena Kostanic Tosic,Silvija Talaja,2,"6-4,6-0",,1998-04-13,,Makarska,,,,,110380,,200160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS030,1998-04-13,R32,Ana Alcazar,Eugenia Kulikovskaya,ESP,RUS,,,6-2,6-1,,,,110303,W-WT-CRO-01A-1998,1998,Ana Alcazar,Eugenia Kulikovskaya,ESP,RUS,,,,Ana Alcazar,Eugenia Kulikovskaya,2,"6-2,6-1",,1998-04-13,,Makarska,,,,,,,110303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS031,1998-04-13,R32,Nathalie Dechy,Amelie Cocheteux,FRA,FRA,6.0,,4-6,6-4,7-5,,40254,30347,W-WT-CRO-01A-1998,1998,Nathalie Dechy,Amelie Cocheteux,FRA,FRA,6.0,,,Nathalie Dechy,Amelie Cocheteux,3,"4-6,6-4,7-5",,1998-04-13,,Makarska,,,,,40254,,30347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS020,1998-04-13,R32,Lenka Nemeckova,Flora Perfetti,CZE,ITA,9.0,,6-3,5-7,6-2,,140117,160093,W-WT-CRO-01A-1998,1998,Lenka Nemeckova,Flora Perfetti,CZE,ITA,9.0,,,Lenka Nemeckova,Flora Perfetti,3,"6-3,5-7,6-2",,1998-04-13,,Makarska,,,,,140117,,160093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS021,1998-04-13,R32,Cara Black,Emilie Loit,ZIM,FRA,,,4-6,6-2,6-0,,20351,120277,W-WT-CRO-01A-1998,1998,Cara Black,Emilie Loit,ZIM,FRA,,,Q,Cara Black,Emilie Loit,3,"4-6,6-2,6-0",,1998-04-13,,Makarska,,,,,20351,,120277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS022,1998-04-13,R32,Sandra Kloesel,Tina Krizan,GER,SLO,,,6-3,6-3,,,110325,110193,W-WT-CRO-01A-1998,1998,Sandra Kloesel,Tina Krizan,GER,SLO,,,,Sandra Kloesel,Tina Krizan,2,"6-3,6-3",,1998-04-13,,Makarska,,,,,110325,,110193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS023,1998-04-13,R32,Adriana Serra Zanetti,Sandra Kleinova,ITA,CZE,,3,6-4,4-6,6-4,,190276,110310,W-WT-CRO-01A-1998,1998,Adriana Serra Zanetti,Sandra Kleinova,ITA,CZE,,3,Q,Adriana Serra Zanetti,Sandra Kleinova,3,"6-4,4-6,6-4",,1998-04-13,,Makarska,,,,,190276,,110310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS019,1998-04-13,R32,Cristina Torrens Valero,Petra Langrova,ESP,TCH,5.0,,5-7,6-0,6-0,,200122,,W-WT-CRO-01A-1998,1998,Cristina Torrens Valero,Petra Langrova,ESP,TCH,5.0,,,Cristina Torrens Valero,Petra Langrova,3,"5-7,6-0,6-0",,1998-04-13,,Makarska,,,,,200122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS018,1998-04-13,R32,Olga Lugina,Kristie Boogert,UKR,NED,,,3-2,,,,,20303,W-WT-CRO-01A-1998,1998,Olga Lugina,Kristie Boogert,UKR,NED,,,,Olga Lugina,Kristie Boogert,1,3-2,,1998-04-13,,Makarska,,,,,,,20303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CRO-01A-1998,1998,Makarska,W,1998-04-13,,Clay,,,32,,,LS016,1998-04-13,R32,Kveta Peschke,Virag Csurgo,CZE,HUN,,,2-6,6-2,7-5,,80218,30061,W-WT-CRO-01A-1998,1998,Kveta Peschke,Virag Csurgo,CZE,HUN,,,Q,Kveta Peschke,Virag Csurgo,3,"2-6,6-2,7-5",,1998-04-13,,Makarska,,,,,80218,,30061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
