tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,settime_set1,scorea_set1,scoreb_set1,scoretb_set1,acesa_set1,acesb_set1,dblflta_set1,dblfltb_set1,ptswon1stserva_set1,ptswon1stservb_set1,ptsplayed1stserva_set1,ptsplayed1stservb_set1,ptstotwonserva_set1,ptstotwonservb_set1,totservplayeda_set1,totservplayedb_set1,breakptsconva_set1,breakptsconvb_set1,breakptsplayeda_set1,breakptsplayedb_set1,servgamesplayeda_set1,servgamesplayedb_set1,pts1stservlosta_set1,pts1stservlostb_set1,totptswona_set1,totptswonb_set1,acesssa_set1,acesssb_set1,settime_set2,scorea_set2,scoreb_set2,scoretb_set2,acesa_set2,acesb_set2,dblflta_set2,dblfltb_set2,ptswon1stserva_set2,ptswon1stservb_set2,ptsplayed1stserva_set2,ptsplayed1stservb_set2,ptstotwonserva_set2,ptstotwonservb_set2,totservplayeda_set2,totservplayedb_set2,breakptsconva_set2,breakptsconvb_set2,breakptsplayeda_set2,breakptsplayedb_set2,servgamesplayeda_set2,servgamesplayedb_set2,pts1stservlosta_set2,pts1stservlostb_set2,totptswona_set2,totptswonb_set2,acesssa_set2,acesssb_set2,settime_set3,scorea_set3,scoreb_set3,scoretb_set3,acesa_set3,acesb_set3,dblflta_set3,dblfltb_set3,ptswon1stserva_set3,ptswon1stservb_set3,ptsplayed1stserva_set3,ptsplayed1stservb_set3,ptstotwonserva_set3,ptstotwonservb_set3,totservplayeda_set3,totservplayedb_set3,breakptsconva_set3,breakptsconvb_set3,breakptsplayeda_set3,breakptsplayedb_set3,servgamesplayeda_set3,servgamesplayedb_set3,pts1stservlosta_set3,pts1stservlostb_set3,totptswona_set3,totptswonb_set3,acesssa_set3,acesssb_set3,settime_set4,scorea_set4,scoreb_set4,scoretb_set4,acesa_set4,acesb_set4,dblflta_set4,dblfltb_set4,ptswon1stserva_set4,ptswon1stservb_set4,ptsplayed1stserva_set4,ptsplayed1stservb_set4,ptstotwonserva_set4,ptstotwonservb_set4,totservplayeda_set4,totservplayedb_set4,breakptsconva_set4,breakptsconvb_set4,breakptsplayeda_set4,breakptsplayedb_set4,servgamesplayeda_set4,servgamesplayedb_set4,pts1stservlosta_set4,pts1stservlostb_set4,totptswona_set4,totptswonb_set4,acesssa_set4,acesssb_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS001,2021-09-19,F,Jasmine Paolini,Alison Riske,ITA,USA,3.0,3.0,7-6(4),6-2,,O,2044,2021.0,Alison Riske,Jasmine Paolini,USA,ITA,3.0,,3,Jasmine Paolini,Alison Riske,2.0,"7-6(4),6-2",2021-09-19T17:53:52+00:00,2021-09-19,01:45:00,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,01:01:25,6.0,7.0,4.0,2.0,0.0,2.0,1.0,13.0,12.0,23.0,25.0,19.0,18.0,43.0,37.0,3.0,3.0,3.0,5.0,6.0,6.0,10.0,13.0,38.0,42.0,0.0,0.0,00:43:33,2.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,14.0,22.0,8.0,18.0,21.0,31.0,1.0,3.0,4.0,5.0,4.0,4.0,9.0,10.0,21.0,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS002,2021-09-18,SF,Alison Riske,Kaja Juvan,USA,SLO,3.0,3.0,6-0,6-4,,O,2044,2021.0,Kaja Juvan,Alison Riske,SLO,USA,,3.0,3,Alison Riske,Kaja Juvan,2.0,"6-0,6-4",2021-09-18T15:37:56+00:00,2021-09-18,01:27:33,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:42:31,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,16.0,10.0,24.0,2.0,21.0,14.0,34.0,0.0,3.0,4.0,3.0,3.0,3.0,9.0,8.0,15.0,33.0,0.0,0.0,00:45:14,4.0,6.0,0.0,0.0,1.0,0.0,2.0,9.0,12.0,19.0,15.0,15.0,16.0,31.0,28.0,2.0,3.0,3.0,6.0,5.0,5.0,10.0,3.0,27.0,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS003,2021-09-18,SF,Jasmine Paolini,Yulia Putintseva,ITA,KAZ,,2.0,1-6,6-3,6-4,O,2044,2021.0,Jasmine Paolini,Yulia Putintseva,ITA,KAZ,,2.0,2,Jasmine Paolini,Yulia Putintseva,3.0,"1-6,6-3,6-4",2021-09-18T13:07:33+00:00,2021-09-18,02:14:21,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:34:31,1.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,15.0,16.0,7.0,14.0,24.0,26.0,1.0,4.0,5.0,4.0,4.0,3.0,10.0,8.0,19.0,31.0,0.0,0.0,00:44:41,6.0,3.0,0.0,0.0,0.0,0.0,2.0,18.0,10.0,26.0,19.0,19.0,12.0,34.0,27.0,3.0,1.0,4.0,2.0,4.0,5.0,8.0,9.0,34.0,27.0,0.0,0.0,00:55:22,6.0,4.0,0.0,0.0,0.0,2.0,5.0,12.0,10.0,18.0,14.0,20.0,16.0,31.0,29.0,2.0,1.0,2.0,2.0,5.0,5.0,6.0,4.0,33.0,27.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS004,2021-09-17,QF,Kaja Juvan,Tamara Zidansek,SLO,SLO,,5.0,7-6(4),6-3,,O,2044,2021.0,Kaja Juvan,Tamara Zidansek,SLO,SLO,,5.0,2,Kaja Juvan,Tamara Zidansek,2.0,"7-6(4),6-3",2021-09-17T17:46:30+00:00,2021-09-17,01:52:15,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,01:05:45,7.0,6.0,4.0,0.0,0.0,0.0,3.0,21.0,20.0,34.0,33.0,30.0,25.0,50.0,44.0,1.0,1.0,4.0,2.0,6.0,6.0,13.0,13.0,49.0,45.0,0.0,0.0,00:46:34,6.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,11.0,18.0,20.0,18.0,23.0,32.0,1.0,0.0,8.0,0.0,5.0,4.0,2.0,7.0,34.0,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS005,2021-09-17,QF,Alison Riske,Kristina Mladenovic,USA,FRA,3.0,,6-4,6-1,,O,2044,2021.0,Alison Riske,Kristina Mladenovic,USA,FRA,3.0,,2,Alison Riske,Kristina Mladenovic,2.0,"6-4,6-1",2021-09-17T16:00:44+00:00,2021-09-17,01:30:16,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:46:48,6.0,4.0,0.0,1.0,0.0,1.0,1.0,10.0,7.0,16.0,16.0,14.0,14.0,24.0,28.0,3.0,2.0,4.0,2.0,5.0,5.0,6.0,9.0,28.0,24.0,0.0,0.0,00:43:13,6.0,1.0,0.0,1.0,0.0,1.0,2.0,14.0,7.0,22.0,13.0,17.0,8.0,29.0,23.0,3.0,1.0,5.0,6.0,4.0,3.0,8.0,6.0,32.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS006,2021-09-17,QF,Jasmine Paolini,Sorana Cirstea,ITA,ROU,,4.0,6-4,4-6,6-1,O,2044,2021.0,Jasmine Paolini,Sorana Cirstea,ITA,ROU,,4.0,2,Jasmine Paolini,Sorana Cirstea,3.0,"6-4,4-6,6-1",2021-09-17T13:37:03+00:00,2021-09-17,02:06:44,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:42:17,6.0,4.0,0.0,0.0,1.0,1.0,0.0,20.0,11.0,29.0,18.0,26.0,15.0,41.0,26.0,2.0,1.0,2.0,7.0,5.0,5.0,9.0,7.0,37.0,30.0,0.0,0.0,00:52:39,4.0,6.0,0.0,0.0,0.0,2.0,1.0,11.0,14.0,20.0,24.0,21.0,19.0,40.0,31.0,1.0,2.0,3.0,5.0,5.0,5.0,9.0,10.0,33.0,38.0,0.0,0.0,00:31:59,6.0,1.0,0.0,2.0,0.0,0.0,1.0,7.0,4.0,10.0,8.0,17.0,8.0,21.0,20.0,2.0,0.0,4.0,1.0,4.0,3.0,3.0,4.0,29.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS007,2021-09-17,QF,Yulia Putintseva,Lucia Bronzetti,KAZ,ITA,2.0,2.0,6-3,6-2,,O,2044,2021.0,Lucia Bronzetti,Yulia Putintseva,ITA,KAZ,,2.0,3,Yulia Putintseva,Lucia Bronzetti,2.0,"6-3,6-2",2021-09-17T09:23:33+00:00,2021-09-17,01:23:00,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:46:22,3.0,6.0,0.0,0.0,0.0,0.0,2.0,8.0,12.0,15.0,20.0,11.0,16.0,26.0,30.0,2.0,3.0,2.0,3.0,4.0,5.0,7.0,8.0,25.0,31.0,0.0,0.0,00:36:38,2.0,6.0,0.0,0.0,0.0,1.0,1.0,6.0,12.0,13.0,13.0,11.0,17.0,21.0,22.0,0.0,2.0,0.0,3.0,4.0,4.0,7.0,1.0,16.0,27.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS008,2021-09-16,2,Kaja Juvan,Aleksandra Krunic,SLO,SRB,,,7-6(1),6-4,,O,2044,2021.0,Kaja Juvan,Aleksandra Krunic,SLO,SRB,,,2,Kaja Juvan,Aleksandra Krunic,2.0,"7-6(1),6-4",2021-09-16T15:01:29+00:00,2021-09-16,01:41:48,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:57:16,7.0,6.0,1.0,1.0,0.0,1.0,1.0,16.0,12.0,22.0,22.0,24.0,23.0,38.0,41.0,2.0,2.0,4.0,2.0,6.0,6.0,6.0,10.0,42.0,37.0,0.0,0.0,21:20:35,6.0,4.0,0.0,0.0,0.0,2.0,1.0,13.0,7.0,19.0,15.0,20.0,13.0,33.0,26.0,2.0,1.0,2.0,1.0,5.0,5.0,6.0,8.0,33.0,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS010,2021-09-15,2,Alison Riske,Viktoria Kuzmova,USA,SVK,3.0,,3-6,6-3,6-3,O,2044,2021.0,Alison Riske,Viktoria Kuzmova,USA,SVK,3.0,,2,Alison Riske,Viktoria Kuzmova,3.0,"3-6,6-3,6-3",2021-09-15T13:29:51+00:00,2021-09-15,02:17:36,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:52:46,3.0,6.0,0.0,2.0,4.0,1.0,2.0,16.0,17.0,22.0,23.0,20.0,27.0,34.0,44.0,0.0,1.0,5.0,5.0,4.0,5.0,6.0,6.0,37.0,41.0,0.0,0.0,00:41:40,6.0,3.0,0.0,1.0,1.0,1.0,3.0,13.0,15.0,17.0,21.0,20.0,16.0,28.0,30.0,2.0,1.0,3.0,5.0,5.0,4.0,4.0,6.0,34.0,24.0,0.0,0.0,00:43:17,6.0,3.0,0.0,1.0,0.0,1.0,2.0,10.0,11.0,14.0,21.0,14.0,16.0,24.0,33.0,3.0,1.0,4.0,2.0,4.0,5.0,4.0,10.0,31.0,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS011,2021-09-15,2,Kristina Mladenovic,Ana Konjuh,FRA,CRO,,,6-0,6-4,,O,2044,2021.0,Kristina Mladenovic,Ana Konjuh,FRA,CRO,,,2,Kristina Mladenovic,Ana Konjuh,2.0,"6-0,6-4",2021-09-15T11:53:59+00:00,2021-09-15,01:21:09,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:24:36,6.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,3.0,17.0,9.0,13.0,5.0,20.0,17.0,3.0,0.0,3.0,1.0,3.0,3.0,5.0,6.0,25.0,12.0,0.0,0.0,00:56:42,6.0,4.0,0.0,1.0,2.0,4.0,1.0,16.0,10.0,25.0,21.0,20.0,17.0,38.0,34.0,3.0,2.0,6.0,3.0,5.0,5.0,9.0,11.0,37.0,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS012,2021-09-16,2,Jasmine Paolini,Anna Kalinskaya,ITA,RUS,,,6-3,6-2,,O,2044,2021.0,Jasmine Paolini,Anna Kalinskaya,ITA,RUS,,,2,Jasmine Paolini,Anna Kalinskaya,2.0,"6-3,6-2",2021-09-16T09:07:26+00:00,2021-09-16,01:30:53,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:50:47,6.0,3.0,0.0,0.0,0.0,2.0,1.0,14.0,14.0,21.0,23.0,27.0,20.0,43.0,36.0,1.0,0.0,4.0,2.0,5.0,4.0,7.0,9.0,43.0,36.0,0.0,0.0,04:47:07,6.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,12.0,13.0,15.0,9.0,24.0,22.0,3.0,1.0,4.0,3.0,4.0,4.0,5.0,8.0,28.0,18.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS013,2021-09-16,2,Sorana Cirstea,Tereza Martincova,ROU,CZE,4.0,4.0,7-5,6-2,,O,2044,2021.0,Tereza Martincova,Sorana Cirstea,CZE,ROU,,4.0,3,Sorana Cirstea,Tereza Martincova,2.0,"7-5,6-2",2021-09-16T14:23:02+00:00,2021-09-16,01:33:45,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:43:13,5.0,7.0,0.0,0.0,0.0,0.0,2.0,10.0,14.0,15.0,17.0,18.0,23.0,29.0,31.0,1.0,2.0,3.0,3.0,6.0,6.0,5.0,3.0,26.0,34.0,0.0,0.0,00:50:41,2.0,6.0,0.0,0.0,0.0,2.0,2.0,9.0,14.0,19.0,25.0,9.0,25.0,23.0,46.0,1.0,3.0,13.0,3.0,4.0,4.0,10.0,11.0,30.0,39.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS014,2021-09-15,2,Lucia Bronzetti,Bernarda Pera,ITA,USA,,,2-6,6-3,6-3,O,2044,2021.0,Lucia Bronzetti,Bernarda Pera,ITA,USA,,,2,Lucia Bronzetti,Bernarda Pera,3.0,"2-6,6-3,6-3",2021-09-15T09:08:10+00:00,2021-09-15,02:30:15,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:47:20,2.0,6.0,0.0,1.0,3.0,1.0,6.0,9.0,10.0,20.0,11.0,13.0,12.0,35.0,24.0,2.0,4.0,3.0,8.0,4.0,4.0,11.0,1.0,25.0,34.0,0.0,0.0,00:43:57,6.0,3.0,0.0,1.0,1.0,0.0,5.0,7.0,7.0,12.0,12.0,17.0,11.0,27.0,26.0,3.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,32.0,21.0,0.0,0.0,00:58:50,6.0,3.0,0.0,4.0,0.0,1.0,2.0,10.0,12.0,17.0,25.0,17.0,16.0,33.0,39.0,3.0,2.0,9.0,4.0,5.0,4.0,7.0,13.0,40.0,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,2021,LJUBLJANA 125,WTA 125,2021-09-13,2021-09-19,Hard,PORTOROZ,SLOVENIA,32,235238,USD,LS015,2021-09-15,2,Yulia Putintseva,Katie Boulter,KAZ,GBR,2.0,2.0,6-3,6-1,,O,2044,2021.0,Katie Boulter,Yulia Putintseva,GBR,KAZ,,2.0,3,Yulia Putintseva,Katie Boulter,2.0,"6-3,6-1",2021-09-15T17:51:00+00:00,2021-09-15,01:13:45,LJUBLJANA 125,"Zavarovalnica Sava Portoroz - Portoroz, Slovenia",2044.0,,,00:40:55,3.0,6.0,0.0,0.0,1.0,2.0,2.0,7.0,13.0,18.0,21.0,12.0,19.0,27.0,30.0,1.0,2.0,3.0,3.0,4.0,5.0,11.0,8.0,23.0,34.0,0.0,0.0,00:32:58,1.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,15.0,10.0,9.0,13.0,25.0,18.0,0.0,3.0,1.0,4.0,4.0,3.0,11.0,3.0,14.0,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
