tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS033,2014-08-11,R64,Samantha Stosur,Varvara Lepchenko,AUS,USA,,,6-2,7-5,,,190787,120420,W-PR-USA-03A-2014,2014,Samantha Stosur,Varvara Lepchenko,AUS,USA,,,,Samantha Stosur,Varvara Lepchenko,2,"6-2,7-5",,2014-08-11,,Cincinnati,,,,,190787,,120420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS035,2014-08-11,R64,Taylor Townsend,Klara Koukalova,USA,CZE,,,6-3,4-6,7-5,,318609,110492,W-PR-USA-03A-2014,2014,Taylor Townsend,Klara Koukalova,USA,CZE,,,Q,Taylor Townsend,Klara Koukalova,3,"6-3,4-6,7-5",,2014-08-11,,Cincinnati,,,,,318609,,110492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS034,2014-08-11,R64,Flavia Pennetta,Chanelle Scheepers,ITA,RSA,13.0,,6-3,6-7(3),6-2,,160391,190873,W-PR-USA-03A-2014,2014,Flavia Pennetta,Chanelle Scheepers,ITA,RSA,13.0,,,Flavia Pennetta,Chanelle Scheepers,3,"6-3,6-7(3),6-2",,2014-08-11,,Cincinnati,,,,,160391,,190873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS039,2014-08-11,R64,Barbora Strycova,Mona Barthel,CZE,GER,,,7-5,6-0,,,190879,315365,W-PR-USA-03A-2014,2014,Barbora Strycova,Mona Barthel,CZE,GER,,,,Barbora Strycova,Mona Barthel,2,"7-5,6-0",,2014-08-11,,Cincinnati,,,,,190879,,315365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS038,2014-08-11,R64,Sloane Stephens,Andrea Petkovic,USA,GER,,,6-3,6-3,,,315683,310770,W-PR-USA-03A-2014,2014,Sloane Stephens,Andrea Petkovic,USA,GER,,,,Sloane Stephens,Andrea Petkovic,2,"6-3,6-3",,2014-08-11,,Cincinnati,,,,,315683,,310770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS037,2014-08-11,R64,Annika Beck,Garbine Muguruza,GER,ESP,,,6-3,2-6,6-3,,316979,316239,W-PR-USA-03A-2014,2014,Annika Beck,Garbine Muguruza,GER,ESP,,,Q,Annika Beck,Garbine Muguruza,3,"6-3,2-6,6-3",,2014-08-11,,Cincinnati,,,,,316979,,316239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS045,2014-08-11,R64,Kurumi Nara,Romina Oprandi,JPN,SUI,,,6-0,6-2,,,314344,150185,W-PR-USA-03A-2014,2014,Kurumi Nara,Romina Oprandi,JPN,SUI,,,,Kurumi Nara,Romina Oprandi,2,"6-0,6-2",,2014-08-11,,Cincinnati,,,,,314344,,150185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS046,2014-08-11,R64,Sabine Lisicki,Roberta Vinci,GER,ITA,,,6-3,2-6,6-2,,312520,220214,W-PR-USA-03A-2014,2014,Sabine Lisicki,Roberta Vinci,GER,ITA,,,,Sabine Lisicki,Roberta Vinci,3,"6-3,2-6,6-2",,2014-08-11,,Cincinnati,,,,,312520,,220214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS047,2014-08-11,R64,Sara Errani,Yanina Wickmayer,ITA,BEL,14.0,,7-5,3-6,7-6(2),,310761,312536,W-PR-USA-03A-2014,2014,Sara Errani,Yanina Wickmayer,ITA,BEL,14.0,,,Sara Errani,Yanina Wickmayer,3,"7-5,3-6,7-6(2)",,2014-08-11,,Cincinnati,,,,,310761,,312536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS040,2014-08-11,R64,Caroline Wozniacki,Magdalena Rybarikova,DEN,SVK,12.0,,6-2,6-3,,,313402,312580,W-PR-USA-03A-2014,2014,Caroline Wozniacki,Magdalena Rybarikova,DEN,SVK,12.0,,,Caroline Wozniacki,Magdalena Rybarikova,2,"6-2,6-3",,2014-08-11,,Cincinnati,,,,,313402,,312580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS041,2014-08-11,R64,Shuai Zhang,Heather Watson,CHN,GBR,,,6-3,2-6,7-5,,311779,316981,W-PR-USA-03A-2014,2014,Shuai Zhang,Heather Watson,CHN,GBR,,,,Shuai Zhang,Heather Watson,3,"6-3,2-6,7-5",,2014-08-11,,Cincinnati,,,,,311779,,316981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS043,2014-08-11,R64,Kate Makarova,Daniela Hantuchova,RUS,SVK,,,6-2,6-2,,,,80394,W-PR-USA-03A-2014,2014,Kate Makarova,Daniela Hantuchova,RUS,SVK,,,,Kate Makarova,Daniela Hantuchova,2,"6-2,6-2",,2014-08-11,,Cincinnati,,,,,,,80394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS050,2014-08-11,R64,Svetlana Kuznetsova,Camila Giorgi,RUS,ITA,,,6-4,6-7(4),6-3,,110552,314610,W-PR-USA-03A-2014,2014,Svetlana Kuznetsova,Camila Giorgi,RUS,ITA,,,,Svetlana Kuznetsova,Camila Giorgi,3,"6-4,6-7(4),6-3",,2014-08-11,,Cincinnati,,,,,110552,,314610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS049,2014-08-11,R64,Christina Mchale,Nicole Gibbs,USA,USA,,,4-6,6-3,6-1,,314917,315279,W-PR-USA-03A-2014,2014,Christina Mchale,Nicole Gibbs,USA,USA,,,WC,Christina Mchale,Nicole Gibbs,3,"4-6,6-3,6-1",,2014-08-11,,Cincinnati,,,,,314917,,315279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS048,2014-08-11,R64,Ana Ivanovic,Sorana Cirstea,SRB,ROU,9.0,,6-1,7-5,,,311710,312469,W-PR-USA-03A-2014,2014,Ana Ivanovic,Sorana Cirstea,SRB,ROU,9.0,,,Ana Ivanovic,Sorana Cirstea,2,"6-1,7-5",,2014-08-11,,Cincinnati,,,,,311710,,312469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS054,2014-08-11,R64,Carla Suarez Navarro,Tsvetana Pironkova,ESP,BUL,15.0,,6-3,1-6,6-2,,311338,311041,W-PR-USA-03A-2014,2014,Carla Suarez Navarro,Tsvetana Pironkova,ESP,BUL,15.0,,,Carla Suarez Navarro,Tsvetana Pironkova,3,"6-3,1-6,6-2",,2014-08-11,,Cincinnati,,,,,311338,,311041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS055,2014-08-11,R64,Pauline Parmentier,Casey Dellacqua,FRA,AUS,,,7-6(4),6-2,,,160515,310730,W-PR-USA-03A-2014,2014,Pauline Parmentier,Casey Dellacqua,FRA,AUS,,,Q,Pauline Parmentier,Casey Dellacqua,2,"7-6(4),6-2",,2014-08-11,,Cincinnati,,,,,160515,,310730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS052,2014-08-11,R64,Elina Svitolina,Lauren Davis,UKR,USA,,,6-3,6-2,,,316738,317414,W-PR-USA-03A-2014,2014,Elina Svitolina,Lauren Davis,UKR,USA,,,,Elina Svitolina,Lauren Davis,2,"6-3,6-2",,2014-08-11,,Cincinnati,,,,,316738,,317414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS057,2014-08-11,R64,Madison Keys,Alize Cornet,USA,FRA,,,6-2,6-4,,,316959,312121,W-PR-USA-03A-2014,2014,Madison Keys,Alize Cornet,USA,FRA,,,,Madison Keys,Alize Cornet,2,"6-2,6-4",,2014-08-11,,Cincinnati,,,,,316959,,312121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS059,2014-08-11,R64,Karin Knapp,Belinda Bencic,ITA,SUI,,,6-2,7-6(1),,,311299,319001,W-PR-USA-03A-2014,2014,Karin Knapp,Belinda Bencic,ITA,SUI,,,Q,Karin Knapp,Belinda Bencic,2,"6-2,7-6(1)",,2014-08-11,,Cincinnati,,,,,311299,,319001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS058,2014-08-11,R64,Anastasia Pavlyuchenkova,Dominika Cibulkova,RUS,SVK,,11.0,6-3,6-3,,,313796,312894,W-PR-USA-03A-2014,2014,Anastasia Pavlyuchenkova,Dominika Cibulkova,RUS,SVK,,11.0,,Anastasia Pavlyuchenkova,Dominika Cibulkova,2,"6-3,6-3",,2014-08-11,,Cincinnati,,,,,313796,,312894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS062,2014-08-11,R64,Lucie Safarova,Venus Williams,CZE,USA,16.0,,6-7(2),6-3,6-4,,310553,230220,W-PR-USA-03A-2014,2014,Lucie Safarova,Venus Williams,CZE,USA,16.0,,,Lucie Safarova,Venus Williams,3,"6-7(2),6-3,6-4",,2014-08-11,,Cincinnati,,,,,310553,,230220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS063,2014-08-11,R64,Zarina Diyas,Irina Camelia Begu,KAZ,ROU,,,7-6(4),7-6(5),,,315696,313169,W-PR-USA-03A-2014,2014,Zarina Diyas,Irina Camelia Begu,KAZ,ROU,,,Q,Zarina Diyas,Irina Camelia Begu,2,"7-6(4),7-6(5)",,2014-08-11,,Cincinnati,,,,,315696,,313169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS061,2014-08-11,R64,Kirsten Flipkens,Polona Hercog,BEL,SLO,,,6-3,6-2,,,310331,313968,W-PR-USA-03A-2014,2014,Kirsten Flipkens,Polona Hercog,BEL,SLO,,,,Kirsten Flipkens,Polona Hercog,2,"6-3,6-2",,2014-08-11,,Cincinnati,,,,,310331,,313968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS016,2014-08-11,R32,Serena Williams,Samantha Stosur,USA,AUS,1.0,,7-6(7),7-6(7),,,230234,190787,W-PR-USA-03A-2014,2014,Serena Williams,Samantha Stosur,USA,AUS,1.0,,,Serena Williams,Samantha Stosur,2,"7-6(7),7-6(7)",,2014-08-11,,Cincinnati,,,,,230234,,190787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS017,2014-08-11,R32,Flavia Pennetta,Taylor Townsend,ITA,USA,13.0,,6-4,6-3,,,160391,318609,W-PR-USA-03A-2014,2014,Flavia Pennetta,Taylor Townsend,ITA,USA,13.0,,,Flavia Pennetta,Taylor Townsend,2,"6-4,6-3",,2014-08-11,,Cincinnati,,,,,160391,,318609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS019,2014-08-11,R32,Sloane Stephens,Barbora Strycova,USA,CZE,,,7-5,6-1,,,315683,190879,W-PR-USA-03A-2014,2014,Sloane Stephens,Barbora Strycova,USA,CZE,,,,Sloane Stephens,Barbora Strycova,2,"7-5,6-1",,2014-08-11,,Cincinnati,,,,,315683,,190879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS018,2014-08-11,R32,Jelena Jankovic,Annika Beck,SRB,GER,8.0,,6-1,7-6(0),,,100153,316979,W-PR-USA-03A-2014,2014,Jelena Jankovic,Annika Beck,SRB,GER,8.0,,,Jelena Jankovic,Annika Beck,2,"6-1,7-6(0)",,2014-08-11,,Cincinnati,,,,,100153,,316979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-PR-USA-03A-2014,2014,Cincinnati,P,2014-08-11,,Hard,,,56,,,LS022,2014-08-11,R32,Agnieszka Radwanska,Kurumi Nara,POL,JPN,4.0,,6-2,6-2,,,312251,314344,W-PR-USA-03A-2014,2014,Agnieszka Radwanska,Kurumi Nara,POL,JPN,4.0,,,Agnieszka Radwanska,Kurumi Nara,2,"6-2,6-2",,2014-08-11,,Cincinnati,,,,,312251,,314344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
