tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T3-COL-01A-2006,2006,Bogota,T3,2006-02-20,,Clay,,,32,,,LS024,2006-02-20,R32,Flavia Pennetta,Katerina Bohmova,ITA,CZE,1.0,,6-4,6-1,,,160391,310979,W-T3-COL-01A-2006,2006,Flavia Pennetta,Katerina Bohmova,ITA,CZE,1.0,,,Flavia Pennetta,Katerina Bohmova,2,"6-4,6-1",,2006-02-20,,Bogota,,,,,160391,,310979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2006,2006,Bogota,T3,2006-02-20,,Clay,,,32,,,LS025,2006-02-20,R32,Ivana Abramovic,Conchita Martinez Granados,CRO,ESP,,,7-6(5),7-5,,,10327,130396,W-T3-COL-01A-2006,2006,Ivana Abramovic,Conchita Martinez Granados,CRO,ESP,,,,Ivana Abramovic,Conchita Martinez Granados,2,"7-6(5),7-5",,2006-02-20,,Bogota,,,,,10327,,130396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2006,2006,Bogota,T3,2006-02-20,,Clay,,,32,,,LS026,2006-02-20,R32,Bethanie Mattek Sands,Arantxa Parra Santonja,USA,ESP,,,6-2,4-6,6-2,,130713,160451,W-T3-COL-01A-2006,2006,Bethanie Mattek Sands,Arantxa Parra Santonja,USA,ESP,,,,Bethanie Mattek Sands,Arantxa Parra Santonja,3,"6-2,4-6,6-2",,2006-02-20,,Bogota,,,,,130713,,160451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2006,2006,Bogota,T3,2006-02-20,,Clay,,,32,,,LS027,2006-02-20,R32,Agnes Szavay,Antonella Serra Zanetti,HUN,ITA,,7.0,6-1,4-6,6-3,,311872,190613,W-T3-COL-01A-2006,2006,Agnes Szavay,Antonella Serra Zanetti,HUN,ITA,,7.0,,Agnes Szavay,Antonella Serra Zanetti,3,"6-1,4-6,6-3",,2006-02-20,,Bogota,,,,,311872,,190613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2006,2006,Bogota,T3,2006-02-20,,Clay,,,32,,,LS030,2006-02-20,R32,Catalina Castano,Daniela Munoz Gallegos,COL,MEX,3.0,,6-2,6-3,,,30360,130640,W-T3-COL-01A-2006,2006,Catalina Castano,Daniela Munoz Gallegos,COL,MEX,3.0,,,Catalina Castano,Daniela Munoz Gallegos,2,"6-2,6-3",,2006-02-20,,Bogota,,,,,30360,,130640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2006,2006,Bogota,T3,2006-02-20,,Clay,,,32,,,LS031,2006-02-20,R32,Natalia Gussoni,Emmanuelle Gagliardi,ARG,SUI,,,6-2,6-4,,,70375,70245,W-T3-COL-01A-2006,2006,Natalia Gussoni,Emmanuelle Gagliardi,ARG,SUI,,,,Natalia Gussoni,Emmanuelle Gagliardi,2,"6-2,6-4",,2006-02-20,,Bogota,,,,,70375,,70245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2006,2006,Bogota,T3,2006-02-20,,Clay,,,32,,,LS029,2006-02-20,R32,Nathalie Vierin,Laura Pous Tio,ITA,ESP,,,6-4,6-2,,,220240,160481,W-T3-COL-01A-2006,2006,Nathalie Vierin,Laura Pous Tio,ITA,ESP,,,,Nathalie Vierin,Laura Pous Tio,2,"6-4,6-2",,2006-02-20,,Bogota,,,,,220240,,160481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2006,2006,Bogota,T3,2006-02-20,,Clay,,,32,,,LS028,2006-02-20,R32,Maria Sanchez Lorenzo,Valentina Sassi,ESP,ITA,8.0,,6-3,6-1,,,190435,190712,W-T3-COL-01A-2006,2006,Maria Sanchez Lorenzo,Valentina Sassi,ESP,ITA,8.0,,,Maria Sanchez Lorenzo,Valentina Sassi,2,"6-3,6-1",,2006-02-20,,Bogota,,,,,190435,,190712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2006,2006,Bogota,T3,2006-02-20,,Clay,,,32,,,LS016,2006-02-20,R32,Lourdes Dominguez Lino,Kaia Kanepi,ESP,EST,6.0,,7-5,6-2,,,40300,110536,W-T3-COL-01A-2006,2006,Lourdes Dominguez Lino,Kaia Kanepi,ESP,EST,6.0,,,Lourdes Dominguez Lino,Kaia Kanepi,2,"7-5,6-2",,2006-02-20,,Bogota,,,,,40300,,110536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-COL-01A-2006,2006,Bogota,T3,2006-02-20,,Clay,,,32,,,LS017,2006-02-20,R32,Maria Jose Martinez Sanchez,Mathilde Johansson,ESP,FRA,,,6-3,6-1,,,130591,100162,W-T3-COL-01A-2006,2006,Maria Jose Martinez Sanchez,Mathilde Johansson,ESP,FRA,,,WC,Maria Jose Martinez Sanchez,Mathilde Johansson,2,"6-3,6-1",,2006-02-20,,Bogota,,,,,130591,,100162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
