tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-CAN-02A-1999,1999,Quebec City,W,1999-11-01,,Hard,,,30,,,LS028,1999-11-01,R32,Tara Snyder,Lilia Osterloh,USA,USA,,,6-3,4-6,6-2,,190571,150134,W-WT-CAN-02A-1999,1999,Tara Snyder,Lilia Osterloh,USA,USA,,,,Tara Snyder,Lilia Osterloh,3,"6-3,4-6,6-2",,1999-11-01,,Quebec City,,,,,190571,,150134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CAN-02A-1999,1999,Quebec City,W,1999-11-01,,Hard,,,30,,,LS030,1999-11-01,R32,Cara Black,Erika De Lone,ZIM,USA,,,6-7,6-3,6-3,,20351,40131,W-WT-CAN-02A-1999,1999,Cara Black,Erika De Lone,ZIM,USA,,,,Cara Black,Erika De Lone,3,"6-7,6-3,6-3",,1999-11-01,,Quebec City,,,,,20351,,40131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CAN-02A-1999,1999,Quebec City,W,1999-11-01,,Hard,,,30,,,LS031,1999-11-01,R32,Alexandra Stevenson,Maureen Drake,USA,CAN,8.0,,4-6,7-6,7-6,,190125,40058,W-WT-CAN-02A-1999,1999,Alexandra Stevenson,Maureen Drake,USA,CAN,8.0,,,Alexandra Stevenson,Maureen Drake,3,"4-6,7-6,7-6",,1999-11-01,,Quebec City,,,,,190125,,40058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CAN-02A-1999,1999,Quebec City,W,1999-11-01,,Hard,,,30,,,LS024,1999-11-01,R32,Chanda Rubin,Sonya Jeyaseelan,USA,CAN,3.0,,7-6,6-3,,,180175,100049,W-WT-CAN-02A-1999,1999,Chanda Rubin,Sonya Jeyaseelan,USA,CAN,3.0,,,Chanda Rubin,Sonya Jeyaseelan,2,"7-6,6-3",,1999-11-01,,Quebec City,,,,,180175,,100049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CAN-02A-1999,1999,Quebec City,W,1999-11-01,,Hard,,,30,,,LS025,1999-11-01,R32,Nicole Pratt,Emmanuelle Gagliardi,AUS,SUI,,,6-3,7-6,,,160078,70245,W-WT-CAN-02A-1999,1999,Nicole Pratt,Emmanuelle Gagliardi,AUS,SUI,,,,Nicole Pratt,Emmanuelle Gagliardi,2,"6-3,7-6",,1999-11-01,,Quebec City,,,,,160078,,70245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CAN-02A-1999,1999,Quebec City,W,1999-11-01,,Hard,,,30,,,LS027,1999-11-01,R32,Shinobu Asagoe,Linda Wild,JPN,USA,,,6-4,6-2,,,10209,,W-WT-CAN-02A-1999,1999,Shinobu Asagoe,Linda Wild,JPN,USA,,,Q,Shinobu Asagoe,Linda Wild,2,"6-4,6-2",,1999-11-01,,Quebec City,,,,,10209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CAN-02A-1999,1999,Quebec City,W,1999-11-01,,Hard,,,30,,,LS026,1999-11-01,R32,Mashona Washington,Jill Craybas,USA,USA,,,6-3,6-3,,,230186,30294,W-WT-CAN-02A-1999,1999,Mashona Washington,Jill Craybas,USA,USA,,,Q,Mashona Washington,Jill Craybas,2,"6-3,6-3",,1999-11-01,,Quebec City,,,,,230186,,30294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CAN-02A-1999,1999,Quebec City,W,1999-11-01,,Hard,,,30,,,LS018,1999-11-01,R32,Lisa Raymond,Angelica Gavaldon,USA,MEX,6.0,,6-0,6-3,,,180144,70103,W-WT-CAN-02A-1999,1999,Lisa Raymond,Angelica Gavaldon,USA,MEX,6.0,,,Lisa Raymond,Angelica Gavaldon,2,"6-0,6-3",,1999-11-01,,Quebec City,,,,,180144,,70103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CAN-02A-1999,1999,Quebec City,W,1999-11-01,,Hard,,,30,,,LS019,1999-11-01,R32,Jana Nejedly,Pavlina Nola,CAN,NZL,,,6-0,6-3,,,140081,190500,W-WT-CAN-02A-1999,1999,Jana Nejedly,Pavlina Nola,CAN,NZL,,,,Jana Nejedly,Pavlina Nola,2,"6-0,6-3",,1999-11-01,,Quebec City,,,,,140081,,190500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-CAN-02A-1999,1999,Quebec City,W,1999-11-01,,Hard,,,30,,,LS017,1999-11-01,R32,Seda Noorlander,Meghann Shaughnessy,NED,USA,,,4-6,6-3,6-4,,40152,190565,W-WT-CAN-02A-1999,1999,Seda Noorlander,Meghann Shaughnessy,NED,USA,,,,Seda Noorlander,Meghann Shaughnessy,3,"4-6,6-3,6-4",,1999-11-01,,Quebec City,,,,,40152,,190565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
