tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS020,1998-04-13,R32,Renee Reid,Kym Hazzard,AUS,AUS,1.0,,6-0,6-3,,,,,W-C40-AUS-02A-1998b,1998,Renee Reid,Kym Hazzard,AUS,AUS,1.0,,,Renee Reid,Kym Hazzard,2,"6-0,6-3",,1998-04-13,,Ipswich 2 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS021,1998-04-13,R32,Susan Cowan,Christine Silaghi,AUS,GER,,,6-1,6-1,,,30444,,W-C40-AUS-02A-1998b,1998,Susan Cowan,Christine Silaghi,AUS,GER,,,,Susan Cowan,Christine Silaghi,2,"6-1,6-1",,1998-04-13,,Ipswich 2 10K,,,,,30444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS022,1998-04-13,R32,Katja Kovac,Ekaterina Paniouchkina,SLO,RUS,,,6-2,6-4,,,110400,,W-C40-AUS-02A-1998b,1998,Katja Kovac,Ekaterina Paniouchkina,SLO,RUS,,,,Katja Kovac,Ekaterina Paniouchkina,2,"6-2,6-4",,1998-04-13,,Ipswich 2 10K,,,,,110400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS023,1998-04-13,R32,Jenny Ann Fetch,Rochelle Rosenfield,AUS,AUS,6.0,,7-6,7-5,,,,180289,W-C40-AUS-02A-1998b,1998,Jenny Ann Fetch,Rochelle Rosenfield,AUS,AUS,6.0,,,Jenny Ann Fetch,Rochelle Rosenfield,2,"7-6,7-5",,1998-04-13,,Ipswich 2 10K,,,,,,,180289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS018,1998-04-13,R32,Cindy Watson,Nicole Sewell,AUS,AUS,4.0,,3-6,7-5,6-3,,230208,190738,W-C40-AUS-02A-1998b,1998,Cindy Watson,Nicole Sewell,AUS,AUS,4.0,,,Cindy Watson,Nicole Sewell,3,"3-6,7-5,6-3",,1998-04-13,,Ipswich 2 10K,,,,,230208,,190738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS019,1998-04-13,R32,Niki Tippins,Maria Boboedova,NZL,RUS,,,6-3,6-2,,,200292,20421,W-C40-AUS-02A-1998b,1998,Niki Tippins,Maria Boboedova,NZL,RUS,,,,Niki Tippins,Maria Boboedova,2,"6-3,6-2",,1998-04-13,,Ipswich 2 10K,,,,,200292,,20421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS017,1998-04-13,R32,Nadia Johnston,Niki Ninaus,AUS,AUS,,,6-0,6-2,,,100116,,W-C40-AUS-02A-1998b,1998,Nadia Johnston,Niki Ninaus,AUS,AUS,,,,Nadia Johnston,Niki Ninaus,2,"6-0,6-2",,1998-04-13,,Ipswich 2 10K,,,,,100116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS016,1998-04-13,R32,Mira Radu,Diane Asensio,ROU,SUI,8.0,,6-3,1-6,6-1,,,,W-C40-AUS-02A-1998b,1998,Mira Radu,Diane Asensio,ROU,SUI,8.0,,,Mira Radu,Diane Asensio,3,"6-3,1-6,6-1",,1998-04-13,,Ipswich 2 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS029,1998-04-13,R32,Deanna Roberts,Vanessa Kendall,AUS,AUS,,7,6-3,4-6,6-2,,180355,,W-C40-AUS-02A-1998b,1998,Deanna Roberts,Vanessa Kendall,AUS,AUS,,7,,Deanna Roberts,Vanessa Kendall,3,"6-3,4-6,6-2",,1998-04-13,,Ipswich 2 10K,,,,,180355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS028,1998-04-13,R32,Monique Adamczak,Suvimol Duangchan,AUS,THA,,,6-2,6-0,,,10293,,W-C40-AUS-02A-1998b,1998,Monique Adamczak,Suvimol Duangchan,AUS,THA,,,,Monique Adamczak,Suvimol Duangchan,2,"6-2,6-0",,1998-04-13,,Ipswich 2 10K,,,,,10293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS031,1998-04-13,R32,Lechia Trewick,Siobhan Munro,AUS,AUS,,,7-6,6-4,,,,,W-C40-AUS-02A-1998b,1998,Lechia Trewick,Siobhan Munro,AUS,AUS,,,,Lechia Trewick,Siobhan Munro,2,"7-6,6-4",,1998-04-13,,Ipswich 2 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-02A-1998b,1998,Ipswich 2 10K,CC,1998-04-13,,Clay,,,32,,,LS030,1998-04-13,R32,Lui Li Shen,Lisa Mcshea,CHN,AUS,,3,6-3,4-6,7-5,,190486,130333,W-C40-AUS-02A-1998b,1998,Lui Li Shen,Lisa Mcshea,CHN,AUS,,3,,Lui Li Shen,Lisa Mcshea,3,"6-3,4-6,7-5",,1998-04-13,,Ipswich 2 10K,,,,,190486,,130333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
