tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS096,2009-05-25,R128,Dinara Safina,Anne Keothavong,RUS,GBR,1.0,,6-0,6-0,,,190950,110524,W-SL-FRA-01A-2009,2009,Dinara Safina,Anne Keothavong,RUS,GBR,1.0,,,Dinara Safina,Anne Keothavong,2,"6-0,6-0",,2009-05-25,,Roland Garros,,,,,190950,,110524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS097,2009-05-25,R128,Vitalia Diatchenko,Mathilde Johansson,RUS,FRA,,,2-6,6-2,10-8,,315030,100162,W-SL-FRA-01A-2009,2009,Vitalia Diatchenko,Mathilde Johansson,RUS,FRA,,,Q,Vitalia Diatchenko,Mathilde Johansson,3,"2-6,6-2,10-8",,2009-05-25,,Roland Garros,,,,,315030,,100162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS099,2009-05-25,R128,Julie Coin,Nuria Llagostera Vives,FRA,ESP,,,7-5,6-2,,,30548,120317,W-SL-FRA-01A-2009,2009,Julie Coin,Nuria Llagostera Vives,FRA,ESP,,,,Julie Coin,Nuria Llagostera Vives,2,"7-5,6-2",,2009-05-25,,Roland Garros,,,,,30548,,120317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS098,2009-05-25,R128,Anastasia Pavlyuchenkova,Raluca Olaru,RUS,ROU,27.0,,6-3,6-2,,,313796,311766,W-SL-FRA-01A-2009,2009,Anastasia Pavlyuchenkova,Raluca Olaru,RUS,ROU,27.0,,,Anastasia Pavlyuchenkova,Raluca Olaru,2,"6-3,6-2",,2009-05-25,,Roland Garros,,,,,313796,,311766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS101,2009-05-25,R128,Polona Hercog,Alisa Kleybanova,SLO,RUS,,23.0,6-2,4-6,6-1,,313968,311777,W-SL-FRA-01A-2009,2009,Polona Hercog,Alisa Kleybanova,SLO,RUS,,23.0,Q,Polona Hercog,Alisa Kleybanova,3,"6-2,4-6,6-1",,2009-05-25,,Roland Garros,,,,,313968,,311777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS100,2009-05-25,R128,Aravane Rezai,Ai Sugiyama,FRA,JPN,,,6-3,6-2,,,311791,190353,W-SL-FRA-01A-2009,2009,Aravane Rezai,Ai Sugiyama,FRA,JPN,,,,Aravane Rezai,Ai Sugiyama,2,"6-3,6-2",,2009-05-25,,Roland Garros,,,,,311791,,190353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS102,2009-05-25,R128,Michelle Larcher De Brito,Melanie South,POR,GBR,,,0-6,7-6(5),7-5,,314929,310620,W-SL-FRA-01A-2009,2009,Michelle Larcher De Brito,Melanie South,POR,GBR,,,Q,Michelle Larcher De Brito,Melanie South,3,"0-6,7-6(5),7-5",,2009-05-25,,Roland Garros,,,,,314929,,310620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS103,2009-05-25,R128,Jie Zheng,Stephanie Cohen Aloro,CHN,FRA,15.0,,6-1,6-3,,,260144,30501,W-SL-FRA-01A-2009,2009,Jie Zheng,Stephanie Cohen Aloro,CHN,FRA,15.0,,,Jie Zheng,Stephanie Cohen Aloro,2,"6-1,6-3",,2009-05-25,,Roland Garros,,,,,260144,,30501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS104,2009-05-25,R128,Victoria Azarenka,Roberta Vinci,BLR,ITA,9.0,,6-4,6-2,,,312001,220214,W-SL-FRA-01A-2009,2009,Victoria Azarenka,Roberta Vinci,BLR,ITA,9.0,,,Victoria Azarenka,Roberta Vinci,2,"6-4,6-2",,2009-05-25,,Roland Garros,,,,,312001,,220214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS105,2009-05-25,R128,Kristina Barrois,Maria Emilia Salerni,GER,ARG,,,3-6,6-1,6-2,,312578,190855,W-SL-FRA-01A-2009,2009,Kristina Barrois,Maria Emilia Salerni,GER,ARG,,,,Kristina Barrois,Maria Emilia Salerni,3,"3-6,6-1,6-2",,2009-05-25,,Roland Garros,,,,,312578,,190855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS107,2009-05-25,R128,Lucie Hradecka,Yvonne Meusburger,CZE,AUT,,,6-1,6-2,,,310849,130698,W-SL-FRA-01A-2009,2009,Lucie Hradecka,Yvonne Meusburger,CZE,AUT,,,,Lucie Hradecka,Yvonne Meusburger,2,"6-1,6-2",,2009-05-25,,Roland Garros,,,,,310849,,130698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS106,2009-05-25,R128,Carla Suarez Navarro,Edina Gallovits Hall,ESP,ROU,22.0,,6-1,6-4,,,311338,70471,W-SL-FRA-01A-2009,2009,Carla Suarez Navarro,Edina Gallovits Hall,ESP,ROU,22.0,,,Carla Suarez Navarro,Edina Gallovits Hall,2,"6-1,6-4",,2009-05-25,,Roland Garros,,,,,311338,,70471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS110,2009-05-25,R128,Iveta Benesova,Julia Goerges,CZE,GER,32.0,,7-5,4-1,,,,313381,W-SL-FRA-01A-2009,2009,Iveta Benesova,Julia Goerges,CZE,GER,32.0,,,Iveta Benesova,Julia Goerges,2,"7-5,4-1",,2009-05-25,,Roland Garros,,,,,,,313381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS111,2009-05-25,R128,Alla Kudryavtseva,Varvara Lepchenko,RUS,USA,,,6-3,6-3,,,311362,120420,W-SL-FRA-01A-2009,2009,Alla Kudryavtseva,Varvara Lepchenko,RUS,USA,,,,Alla Kudryavtseva,Varvara Lepchenko,2,"6-3,6-3",,2009-05-25,,Roland Garros,,,,,311362,,120420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS109,2009-05-25,R128,Tamarine Tanasugarn,Camille Pin,THA,FRA,,,6-3,5-7,7-5,,200137,160363,W-SL-FRA-01A-2009,2009,Tamarine Tanasugarn,Camille Pin,THA,FRA,,,,Tamarine Tanasugarn,Camille Pin,3,"6-3,5-7,7-5",,2009-05-25,,Roland Garros,,,,,200137,,160363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS108,2009-05-25,R128,Ana Ivanovic,Sara Errani,SRB,ITA,8.0,,7-6(3),6-3,,,311710,310761,W-SL-FRA-01A-2009,2009,Ana Ivanovic,Sara Errani,SRB,ITA,8.0,,,Ana Ivanovic,Sara Errani,2,"7-6(3),6-3",,2009-05-25,,Roland Garros,,,,,311710,,310761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS118,2009-05-25,R128,Venus Williams,Bethanie Mattek Sands,USA,USA,3.0,,6-1,4-6,6-2,,230220,130713,W-SL-FRA-01A-2009,2009,Venus Williams,Bethanie Mattek Sands,USA,USA,3.0,,,Venus Williams,Bethanie Mattek Sands,3,"6-1,4-6,6-2",,2009-05-25,,Roland Garros,,,,,230220,,130713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS119,2009-05-25,R128,Lucie Safarova,Sabine Lisicki,CZE,GER,,,6-2,1-6,6-1,,310553,312520,W-SL-FRA-01A-2009,2009,Lucie Safarova,Sabine Lisicki,CZE,GER,,,,Lucie Safarova,Sabine Lisicki,3,"6-2,1-6,6-1",,2009-05-25,,Roland Garros,,,,,310553,,312520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS117,2009-05-25,R128,Elena Vesnina,Severine Beltrame,RUS,FRA,,,6-3,6-3,,,311220,20553,W-SL-FRA-01A-2009,2009,Elena Vesnina,Severine Beltrame,RUS,FRA,,,,Elena Vesnina,Severine Beltrame,2,"6-3,6-3",,2009-05-25,,Roland Garros,,,,,311220,,20553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS116,2009-05-25,R128,Agnes Szavay,Corinna Dentoni,HUN,ITA,29.0,,6-3,6-4,,,311872,312123,W-SL-FRA-01A-2009,2009,Agnes Szavay,Corinna Dentoni,HUN,ITA,29.0,,,Agnes Szavay,Corinna Dentoni,2,"6-3,6-4",,2009-05-25,,Roland Garros,,,,,311872,,312123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS112,2009-05-25,R128,Dominika Cibulkova,Alona Bondarenko,SVK,UKR,20.0,,6-4,2-6,6-4,,312894,20608,W-SL-FRA-01A-2009,2009,Dominika Cibulkova,Alona Bondarenko,SVK,UKR,20.0,,,Dominika Cibulkova,Alona Bondarenko,3,"6-4,2-6,6-4",,2009-05-25,,Roland Garros,,,,,312894,,20608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS113,2009-05-25,R128,Kirsten Flipkens,Stephanie Foretz Gacon,BEL,FRA,,,6-1,4-6,6-4,,310331,,W-SL-FRA-01A-2009,2009,Kirsten Flipkens,Stephanie Foretz Gacon,BEL,FRA,,,,Kirsten Flipkens,Stephanie Foretz Gacon,3,"6-1,4-6,6-4",,2009-05-25,,Roland Garros,,,,,310331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS114,2009-05-25,R128,Gisela Dulko,Tamira Paszek,ARG,AUT,,,6-1,6-3,,,40388,313035,W-SL-FRA-01A-2009,2009,Gisela Dulko,Tamira Paszek,ARG,AUT,,,,Gisela Dulko,Tamira Paszek,2,"6-1,6-3",,2009-05-25,,Roland Garros,,,,,40388,,313035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS115,2009-05-25,R128,Anna Lena Groenefeld,Amelie Mauresmo,GER,FRA,,16.0,6-4,6-3,,,310318,130450,W-SL-FRA-01A-2009,2009,Anna Lena Groenefeld,Amelie Mauresmo,GER,FRA,,16.0,,Anna Lena Groenefeld,Amelie Mauresmo,2,"6-4,6-3",,2009-05-25,,Roland Garros,,,,,310318,,130450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS121,2009-05-25,R128,Nadia Petrova,Lauren Embree,RUS,USA,11.0,,6-1,6-2,,,160379,315253,W-SL-FRA-01A-2009,2009,Nadia Petrova,Lauren Embree,RUS,USA,11.0,,,Nadia Petrova,Lauren Embree,2,"6-1,6-2",,2009-05-25,,Roland Garros,,,,,160379,,315253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS120,2009-05-25,R128,Maria Sharapova,Anastasia Yakimova,RUS,BLR,,,3-6,6-1,6-2,,310137,310626,W-SL-FRA-01A-2009,2009,Maria Sharapova,Anastasia Yakimova,RUS,BLR,,,,Maria Sharapova,Anastasia Yakimova,3,"3-6,6-1,6-2",,2009-05-25,,Roland Garros,,,,,310137,,310626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS123,2009-05-25,R128,Arantxa Rus,Olivia Sanchez,NED,FRA,,,6-1,6-1,,,313349,190713,W-SL-FRA-01A-2009,2009,Arantxa Rus,Olivia Sanchez,NED,FRA,,,Q,Arantxa Rus,Olivia Sanchez,2,"6-1,6-1",,2009-05-25,,Roland Garros,,,,,313349,,190713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-SL-FRA-01A-2009,2009,Roland Garros,G,2009-05-25,,Clay,,,128,,,LS122,2009-05-25,R128,Yaroslava Shvedova,Kaia Kanepi,KAZ,EST,,19.0,7-6(2),3-6,6-2,,311137,110536,W-SL-FRA-01A-2009,2009,Yaroslava Shvedova,Kaia Kanepi,KAZ,EST,,19.0,Q,Yaroslava Shvedova,Kaia Kanepi,3,"7-6(2),3-6,6-2",,2009-05-25,,Roland Garros,,,,,311137,,110536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
