tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-HUN-01A-1993,1993,Budapest,W,1993-10-18,,Carpet,,,32,,,LS016,1993-10-18,R32,Zina Garrison,Kveta Peschke,USA,CZE,1.0,,7-5,6-2,,,,80218,W-WT-HUN-01A-1993,1993,Zina Garrison,Kveta Peschke,USA,CZE,1.0,,,Zina Garrison,Kveta Peschke,2,"7-5,6-2",,1993-10-18,,Budapest,,,,,,,80218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1993,1993,Budapest,W,1993-10-18,,Carpet,,,32,,,LS017,1993-10-18,R32,Elena Brioukhovets,Radomira Zrubakova,UKR,SVK,,,6-3,6-1,,,,,W-WT-HUN-01A-1993,1993,Elena Brioukhovets,Radomira Zrubakova,UKR,SVK,,,,Elena Brioukhovets,Radomira Zrubakova,2,"6-3,6-1",,1993-10-18,,Budapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1993,1993,Budapest,W,1993-10-18,,Carpet,,,32,,,LS019,1993-10-18,R32,Silke Meier,Sandrine Testud,GER,FRA,,,7-6,1-6,6-1,,,200109,W-WT-HUN-01A-1993,1993,Silke Meier,Sandrine Testud,GER,FRA,,,,Silke Meier,Sandrine Testud,3,"7-6,1-6,6-1",,1993-10-18,,Budapest,,,,,,,200109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1993,1993,Budapest,W,1993-10-18,,Carpet,,,32,,,LS018,1993-10-18,R32,Ines Gorrochategui,Katarzyna Teodorowicz Lisowska,ARG,POL,7.0,,6-2,7-6,,,,,W-WT-HUN-01A-1993,1993,Ines Gorrochategui,Katarzyna Teodorowicz Lisowska,ARG,POL,7.0,,,Ines Gorrochategui,Katarzyna Teodorowicz Lisowska,2,"6-2,7-6",,1993-10-18,,Budapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1993,1993,Budapest,W,1993-10-18,,Carpet,,,32,,,LS020,1993-10-18,R32,Julie Halard Decugis,Kristie Boogert,FRA,NED,3.0,,6-2,6-3,,,80005,20303,W-WT-HUN-01A-1993,1993,Julie Halard Decugis,Kristie Boogert,FRA,NED,3.0,,,Julie Halard Decugis,Kristie Boogert,2,"6-2,6-3",,1993-10-18,,Budapest,,,,,80005,,20303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1993,1993,Budapest,W,1993-10-18,,Carpet,,,32,,,LS021,1993-10-18,R32,Emanuela Zardo,Adriana Serra Zanetti,SUI,ITA,,,7-6,4-6,6-3,,,190276,W-WT-HUN-01A-1993,1993,Emanuela Zardo,Adriana Serra Zanetti,SUI,ITA,,,,Emanuela Zardo,Adriana Serra Zanetti,3,"7-6,4-6,6-3",,1993-10-18,,Budapest,,,,,,,190276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1993,1993,Budapest,W,1993-10-18,,Carpet,,,32,,,LS022,1993-10-18,R32,Nanne Dahlman,Elena Pampoulova,FIN,BUL,,,6-0,4-1,,,,,W-WT-HUN-01A-1993,1993,Nanne Dahlman,Elena Pampoulova,FIN,BUL,,,,Nanne Dahlman,Elena Pampoulova,2,"6-0,4-1",,1993-10-18,,Budapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1993,1993,Budapest,W,1993-10-18,,Carpet,,,32,,,LS023,1993-10-18,R32,Elena Makarova,Meike Babel,RUS,GER,,5.0,6-2,6-1,,,,20279,W-WT-HUN-01A-1993,1993,Elena Makarova,Meike Babel,RUS,GER,,5.0,Q,Elena Makarova,Meike Babel,2,"6-2,6-1",,1993-10-18,,Budapest,,,,,,,20279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1993,1993,Budapest,W,1993-10-18,,Carpet,,,32,,,LS029,1993-10-18,R32,Radka Bobkova,Reka Vidats,CZE,HUN,6.0,,6-1,6-2,,,20114,,W-WT-HUN-01A-1993,1993,Radka Bobkova,Reka Vidats,CZE,HUN,6.0,,,Radka Bobkova,Reka Vidats,2,"6-1,6-2",,1993-10-18,,Budapest,,,,,20114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-HUN-01A-1993,1993,Budapest,W,1993-10-18,,Carpet,,,32,,,LS028,1993-10-18,R32,Katarina Studenikova,Tatjana Jecmenica,SVK,SRB,,,7-5,6-1,,,,,W-WT-HUN-01A-1993,1993,Katarina Studenikova,Tatjana Jecmenica,SVK,SRB,,,,Katarina Studenikova,Tatjana Jecmenica,2,"7-5,6-1",,1993-10-18,,Budapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
