event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,tiebreak_set4_winner,tiebreak_set4_loser,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS001,F,04:11:00,,F,5,F196,"7-6(8),3-6,6-7(5),7-6(7),6-2",W. Ferreira,L. Hewitt,,,RSA,AUS,7-6(8),3-6,6-7(5),7-6(7),6-2,04:11:00,8,6,5,7,7,2,266,/en/stats/leaderboard?page=serve,5,18,52,100,194,69,69,100,55,52,94,70,14,20,27,248,/en/stats/leaderboard?page=serve,8,8,49,84,170,76,64,84,47,40,86,57,8,14,26,62,121,194,39,66,170,51,187,364,61,104,170,38,73,194,49,177,364,A,,,W. Ferreira,L. Hewitt,F196,H432,RSA,AUS,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS002,SF,02:04:00,,F,3,H432,"6-4,6-7(5),6-3",L. Hewitt,Y. Kafelnikov,,,AUS,RUS,6-4,6-7(5),6-3,,,02:04:00,,,,,,,287,/en/stats/leaderboard?page=serve,4,7,46,43,94,84,36,43,61,31,51,75,3,4,16,261,/en/stats/leaderboard?page=serve,6,5,48,43,90,79,34,43,55,26,47,50,3,6,15,71,67,94,33,30,90,53,97,184,67,60,90,29,27,94,47,87,184,A,5,7,L. Hewitt,Y. Kafelnikov,H432,K267,AUS,RUS,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS003,SF,01:05:00,,F,2,F196,"6-4,6-2",W. Ferreira,S. Grosjean,,,RSA,FRA,6-4,6-2,,,,01:05:00,,,,,,,300,/en/stats/leaderboard?page=serve,2,4,60,27,45,78,21,27,72,13,18,67,2,3,9,200,/en/stats/leaderboard?page=serve,6,4,47,32,68,53,17,32,47,17,36,60,6,10,9,76,34,45,50,34,68,60,68,113,50,34,68,24,11,45,40,45,113,A,,,W. Ferreira,S. Grosjean,F196,G379,RSA,FRA,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS004,QF,01:11:00,,F,2,H432,"6-4,6-4",L. Hewitt,G. Rusedski,,,AUS,GBR,6-4,6-4,,,,01:11:00,,,,,,,310,/en/stats/leaderboard?page=serve,3,5,61,34,56,88,30,34,59,13,22,0,0,0,10,259,/en/stats/leaderboard?page=serve,2,4,48,30,62,70,21,30,59,19,32,50,2,4,10,77,43,56,35,22,62,55,65,118,65,40,62,23,13,56,45,53,118,A,,,L. Hewitt,G. Rusedski,H432,R237,AUS,GBR,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS005,QF,01:48:00,,F,3,K267,"4-6,6-1,6-4",Y. Kafelnikov,S. Schalken,,,RUS,NED,4-6,6-1,6-4,,,01:48:00,,,,,,,254,/en/stats/leaderboard?page=serve,3,4,66,54,82,70,38,54,46,13,28,33,2,6,14,221,/en/stats/leaderboard?page=serve,2,5,67,56,84,59,33,56,39,11,28,50,6,12,13,62,51,82,48,40,84,55,91,166,52,44,84,38,31,82,45,75,166,A,,,Y. Kafelnikov,S. Schalken,K267,S572,RUS,NED,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS006,QF,01:04:00,,F,2,F196,"6-0,7-5",W. Ferreira,A. Pavel,,,RSA,ROU,6-0,7-5,,,,01:04:00,,,,,,,280,/en/stats/leaderboard?page=serve,1,9,57,35,61,69,24,35,58,15,26,67,2,3,9,194,/en/stats/leaderboard?page=serve,3,0,56,27,48,59,16,27,38,8,21,29,2,7,9,64,39,61,50,24,48,58,63,109,50,24,48,36,22,61,42,46,109,A,,,W. Ferreira,A. Pavel,F196,P280,RSA,ROU,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS007,QF,01:51:00,,F,3,G379,"7-5,1-6,6-2",S. Grosjean,M. Chang,,,FRA,USA,7-5,1-6,6-2,,,01:51:00,,,,,,,223,/en/stats/leaderboard?page=serve,3,8,46,36,79,69,25,36,42,18,43,38,3,8,13,225,/en/stats/leaderboard?page=serve,0,1,59,48,81,56,27,48,52,17,33,33,3,9,14,54,43,79,46,37,81,50,80,160,54,44,81,46,36,79,50,80,160,A,,,S. Grosjean,M. Chang,G379,C274,FRA,USA,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS008,R16,01:09:00,,F,2,R237,"7-6(7),6-4",G. Rusedski,M. Safin,,,GBR,RUS,7-6(7),6-4,,,,01:09:00,7,2,,,,,299,/en/stats/leaderboard?page=serve,3,9,61,38,62,84,32,38,58,14,24,67,2,3,11,277,/en/stats/leaderboard?page=serve,1,9,60,37,62,76,28,37,52,13,25,33,1,3,11,74,46,62,34,21,62,54,67,124,66,41,62,26,16,62,46,57,124,A,,,G. Rusedski,M. Safin,R237,S741,GBR,RUS,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS009,R16,02:11:00,,F,3,H432,"3-6,6-3,6-4",L. Hewitt,T. Henman,,,AUS,GBR,3-6,6-3,6-4,,,02:11:00,,,,,,,266,/en/stats/leaderboard?page=serve,3,4,60,50,83,72,36,50,55,18,33,57,4,7,14,230,/en/stats/leaderboard?page=serve,7,4,46,48,105,79,38,48,37,21,57,71,10,14,14,65,54,83,44,46,105,53,100,188,56,59,105,35,29,83,47,88,188,A,,,L. Hewitt,T. Henman,H432,H336,AUS,GBR,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS010,R16,02:02:00,,F,3,S572,"4-6,6-3,6-3",S. Schalken,M. Norman,,,NED,SWE,4-6,6-3,6-3,,,02:02:00,,,,,,,272,/en/stats/leaderboard?page=serve,1,4,55,43,78,77,33,43,57,20,35,0,0,3,15,249,/en/stats/leaderboard?page=serve,8,10,58,57,99,70,40,57,48,20,42,69,9,13,14,68,53,78,39,39,99,52,92,177,61,60,99,32,25,78,48,85,177,A,,,S. Schalken,M. Norman,S572,N250,NED,SWE,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS011,R16,01:21:00,,F,2,K267,"6-3,7-5",Y. Kafelnikov,F. Squillari,,,RUS,ARG,6-3,7-5,,,,01:21:00,,,,,,,281,/en/stats/leaderboard?page=serve,8,6,50,39,78,87,34,39,46,18,39,100,4,4,11,264,/en/stats/leaderboard?page=serve,6,6,57,38,67,68,26,38,59,17,29,67,4,6,10,67,52,78,36,24,67,52,76,145,64,43,67,33,26,78,48,69,145,A,,,Y. Kafelnikov,F. Squillari,K267,S568,RUS,ARG,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS012,R16,00:11:00,,F,1,F196,1-0,W. Ferreira,M. Philippoussis,,,RSA,AUS,1-0,,,,,00:11:00,,,,,,,0,/en/stats/leaderboard?page=serve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,/en/stats/leaderboard?page=serve,0,0,100,5,5,20,1,5,0,0,0,0,0,1,1,0,0,0,80,4,5,80,4,5,20,1,5,0,0,0,20,1,5,A,,,W. Ferreira,M. Philippoussis,F196,P338,RSA,AUS,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS013,R16,01:00:00,,F,2,P280,"6-3,6-4",A. Pavel,A. Agassi,,,ROU,USA,6-3,6-4,,,,01:00:00,,,,,,,331,/en/stats/leaderboard?page=serve,0,10,61,31,51,90,28,31,70,14,20,0,0,0,10,269,/en/stats/leaderboard?page=serve,0,3,58,31,53,81,25,31,50,11,22,50,2,4,9,82,42,51,32,17,53,57,59,104,68,36,53,18,9,51,43,45,104,A,,,A. Pavel,A. Agassi,P280,A092,ROU,USA,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS014,R16,01:22:00,,F,2,C274,"7-5,6-2",M. Chang,Y. El Aynaoui,,,USA,MAR,7-5,6-2,,,,01:22:00,,,,,,,296,/en/stats/leaderboard?page=serve,3,5,60,33,55,76,25,33,68,15,22,0,0,1,10,224,/en/stats/leaderboard?page=serve,4,6,69,55,80,65,36,55,28,7,25,76,13,17,10,73,40,55,46,37,80,57,77,135,54,43,80,27,15,55,43,58,135,A,,,M. Chang,Y. El Aynaoui,C274,E121,USA,MAR,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS015,R16,01:31:00,,F,2,G379,"7-6(11),6-3",S. Grosjean,G. Kuerten,,,FRA,BRA,7-6(11),6-3,,,,01:31:00,11,9,,,,,320,/en/stats/leaderboard?page=serve,0,9,52,34,65,91,31,34,68,21,31,0,0,0,11,279,/en/stats/leaderboard?page=serve,3,6,48,36,75,89,32,36,49,19,39,75,3,4,10,80,52,65,32,24,75,54,76,140,68,51,75,20,13,65,46,64,140,A,,,S. Grosjean,G. Kuerten,G379,K293,FRA,BRA,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS016,R32,01:07:00,,F,2,S741,"6-2,6-4",M. Safin,F. Santoro,,,RUS,FRA,6-2,6-4,,,,01:07:00,,,,,,,281,/en/stats/leaderboard?page=serve,2,7,55,31,56,81,25,31,52,13,25,75,3,4,9,211,/en/stats/leaderboard?page=serve,2,0,52,31,60,68,21,31,38,11,29,50,4,8,9,68,38,56,47,28,60,57,66,116,53,32,60,32,18,56,43,50,116,A,,,M. Safin,F. Santoro,S741,S424,RUS,FRA,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS017,R32,00:54:00,,F,2,R237,"6-2,6-3",G. Rusedski,M. Puerta,,,GBR,ARG,6-2,6-3,,,,00:54:00,,,,,,,347,/en/stats/leaderboard?page=serve,0,15,77,34,44,85,29,34,70,7,10,0,0,0,9,245,/en/stats/leaderboard?page=serve,0,0,65,32,49,59,19,32,59,10,17,50,3,6,8,82,36,44,41,20,49,60,56,93,59,29,49,18,8,44,40,37,93,A,,,G. Rusedski,M. Puerta,R237,P372,GBR,ARG,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS018,R32,01:08:00,,F,2,H336,"6-2,6-3",T. Henman,A. Costa,,,GBR,ESP,6-2,6-3,,,,01:08:00,,,,,,,291,/en/stats/leaderboard?page=serve,0,3,56,23,41,78,18,23,67,12,18,50,1,2,8,198,/en/stats/leaderboard?page=serve,1,2,60,32,53,50,16,32,43,9,21,44,4,9,9,73,30,41,53,28,53,62,58,94,47,25,53,27,11,41,38,36,94,A,,,T. Henman,A. Costa,H336,C378,GBR,ESP,,
357,2000,ATP Masters 1000 Stuttgart,1000,2000-10-30T00:00:00,2000-11-05T00:00:00,Hard,48,2450000,$,MS019,R32,01:23:00,,F,2,H432,"6-4,7-5",L. Hewitt,R. Krajicek,,,AUS,NED,6-4,7-5,,,,01:23:00,,,,,,,310,/en/stats/leaderboard?page=serve,3,9,51,32,63,88,28,32,65,20,31,100,3,3,11,258,/en/stats/leaderboard?page=serve,4,7,54,45,83,67,30,45,53,20,38,75,6,8,11,76,48,63,40,33,83,55,81,146,60,50,83,24,15,63,45,65,146,A,,,L. Hewitt,R. Krajicek,H432,K214,AUS,NED,,
