event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_isstatbetter_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,doublefaults_isstatbetter_tot_winner,tiebreak_set3_winner,tiebreak_set3_loser,servicegamesplayed_isstatbetter_tot_winner,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS001,F,01:53:00,,F,3,C274,"7-5,6-1,6-1",M. Chang,P. Haarhuis,,,USA,NED,7-5,6-1,6-1,,,01:53:00,272,/en/stats/leaderboard?page=serve,3,4,53,40.0,76,95,38.0,40.0,39,14.0,36.0,71,5,7,13,185,/en/stats/leaderboard?page=serve,False,1,59,49,83,55,27,49,32,11,34,38,5,13,13,68,52,76,54,45,83,61,97,159,46,38,83,32,24,76,39,62,159,A,,,,,,,,,,M. Chang,P. Haarhuis,C274,H223,USA,NED,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS002,SF,01:18:00,,F,2,H223,"6-2,7-6(8)",P. Haarhuis,G. Ivanisevic,,,NED,CRO,6-2,7-6(8),,,,01:18:00,285,/en/stats/leaderboard?page=serve,2,5,71,50.0,70,76,38.0,50.0,45,9.0,20.0,80,4,5,10,243,/en/stats/leaderboard?page=serve,,5,48,33,69,79,26,33,44,16,36,40,2,5,10,67,47,70,39,27,69,53,74,139,61,42,69,33,23,70,47,65,139,A,8,6,3,,,,,,,P. Haarhuis,G. Ivanisevic,H223,I034,NED,CRO,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS003,SF,01:37:00,,F,2,C274,"7-6(8),6-3",M. Chang,M. Rios,,,USA,CHI,7-6(8),6-3,,,,01:37:00,268,/en/stats/leaderboard?page=serve,2,5,46,35.0,76,80,28.0,35.0,49,20.0,41.0,50,1,2,10,246,/en/stats/leaderboard?page=serve,,3,54,37,68,73,27,37,45,14,31,40,2,5,11,63,48,76,40,27,68,52,75,144,60,41,68,37,28,76,48,69,144,A,,,1,8,6,,,,,M. Chang,M. Rios,C274,R286,USA,CHI,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS004,QF,01:57:00,,F,3,H223,"7-5,6-7(5),6-1",P. Haarhuis,P. Sampras,,,NED,USA,7-5,6-7(5),6-1,,,01:57:00,300,/en/stats/leaderboard?page=serve,1,12,63,59.0,93,80,47.0,59.0,65,22.0,34.0,,0,,16,277,/en/stats/leaderboard?page=serve,,12,57,54,94,74,40,54,55,22,40,63,5,8,15,74,69,93,34,32,94,54,101,187,66,62,94,26,24,93,46,86,187,A,5,7,1,,,,,,,P. Haarhuis,P. Sampras,H223,S402,NED,USA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS005,QF,01:08:00,,F,2,I034,"6-4,6-4",G. Ivanisevic,C. Costa,,,CRO,ESP,6-4,6-4,,,,01:08:00,284,/en/stats/leaderboard?page=serve,1,8,65,36.0,55,89,32.0,36.0,53,10.0,19.0,,0,,10,259,/en/stats/leaderboard?page=serve,,0,54,32,59,72,23,32,56,15,27,33,1,3,10,76,42,55,36,21,59,55,63,114,64,38,59,24,13,55,45,51,114,A,,,3,,,,,,,G. Ivanisevic,C. Costa,I034,C179,CRO,ESP,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS006,QF,02:04:00,,F,3,C274,"6-7(3),6-2,6-1",M. Chang,A. Agassi,,,USA,USA,6-7(3),6-2,6-1,,,02:04:00,271,/en/stats/leaderboard?page=serve,2,13,49,44.0,90,70,31.0,44.0,57,26.0,46.0,78,7,9,13,201,/en/stats/leaderboard?page=serve,,2,47,47,101,66,31,47,39,21,54,53,8,15,14,63,57,90,49,49,101,55,106,191,51,52,101,37,33,90,45,85,191,A,,,3,3,7,,,,,M. Chang,A. Agassi,C274,A092,USA,USA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS007,QF,01:17:00,,F,2,R286,"7-5,7-5",M. Rios,W. Ferreira,,,CHI,RSA,7-5,7-5,,,,01:17:00,280,/en/stats/leaderboard?page=serve,1,0,55,39.0,71,79,31.0,39.0,56,18.0,32.0,67,2,3,12,256,/en/stats/leaderboard?page=serve,,7,53,35,66,83,29,35,42,13,31,0,0,3,12,69,49,71,36,24,66,53,73,137,64,42,66,31,22,71,47,64,137,A,,,4,,,,,,,M. Rios,W. Ferreira,R286,F196,CHI,RSA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS008,R16,01:00:00,,F,2,S402,"6-3,6-4",P. Sampras,M. Joyce,,,USA,USA,6-3,6-4,,,,01:00:00,215,/en/stats/leaderboard?page=serve,2,10,58,33.0,57,82,27.0,33.0,67,16.0,24.0,0,0,,10,277,/en/stats/leaderboard?page=serve,,3,64,29,45,59,17,29,75,12,16,0,0,2,9,75,43,57,36,16,45,58,59,102,64,29,45,25,14,57,42,43,102,A,,,1,,,,,,,P. Sampras,M. Joyce,S402,J100,USA,USA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS009,R16,01:08:00,,F,2,H223,"6-3,6-4",P. Haarhuis,R. Furlan,,,NED,ITA,6-3,6-4,,,,01:08:00,221,/en/stats/leaderboard?page=serve,,2,69,36.0,52,81,29.0,36.0,69,11.0,16.0,0,0,,10,249,/en/stats/leaderboard?page=serve,,3,48,27,56,67,18,27,55,16,29,33,1,3,9,77,40,52,39,22,56,57,62,108,61,34,56,23,12,52,43,46,108,A,,,1,,,False,,,,P. Haarhuis,R. Furlan,H223,F192,NED,ITA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS010,R16,02:09:00,,F,3,C179,"6-3,4-6,6-4",C. Costa,A. Costa,,,ESP,ESP,6-3,4-6,6-4,,,02:09:00,259,/en/stats/leaderboard?page=serve,3,5,57,63.0,110,73,46.0,63.0,47,22.0,47.0,73,8,11,15,248,/en/stats/leaderboard?page=serve,,2,74,80,108,64,51,80,39,11,28,73,11,15,14,62,68,110,43,46,108,52,114,218,57,62,108,38,42,110,48,104,218,A,,,2,,,,,,,C. Costa,A. Costa,C179,C378,ESP,ESP,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS011,R16,01:15:00,,F,2,I034,"6-4,7-5",G. Ivanisevic,J. Burillo,,,CRO,ESP,6-4,7-5,,,,01:15:00,283,/en/stats/leaderboard?page=serve,1,12,48,34.0,71,85,29.0,34.0,49,18.0,37.0,80,4,5,11,249,/en/stats/leaderboard?page=serve,,8,68,53,78,68,36,53,36,9,25,73,8,11,11,66,47,71,42,33,78,54,80,149,58,45,78,34,24,71,46,69,149,A,,,3,,,,,,,G. Ivanisevic,J. Burillo,I034,B429,CRO,ESP,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS012,R16,01:13:00,,F,2,C274,"6-1,6-3",M. Chang,A. Boetsch,,,USA,FRA,6-1,6-3,,,,01:13:00,265,/en/stats/leaderboard?page=serve,,1,44,20.0,45,65,13.0,20.0,68,17.0,25.0,0,0,1,8,183,/en/stats/leaderboard?page=serve,,6,54,27,50,44,12,27,43,10,23,50,5,10,8,67,30,45,56,28,50,61,58,95,44,22,50,33,15,45,39,37,95,A,,,1,,,False,,,,M. Chang,A. Boetsch,C274,B053,USA,FRA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS013,R16,02:19:00,,F,3,A092,"7-6(11),2-6,7-6(7)",A. Agassi,T. Martin,,,USA,USA,7-6(11),2-6,7-6(7),,,02:19:00,269,/en/stats/leaderboard?page=serve,3,6,50,54.0,108,85,46.0,54.0,50,27.0,54.0,50,3,6,16,301,/en/stats/leaderboard?page=serve,False,11,68,77,114,75,58,77,54,20,37,89,8,9,16,68,73,108,32,36,114,49,109,222,68,78,114,32,35,108,51,113,222,A,,,,11,9,,7,1,,A. Agassi,T. Martin,A092,M442,USA,USA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS015,R16,00:49:00,,F,2,R286,"6-3,4-1",M. Rios,A. Voinea,,,CHI,ROU,6-3,4-1,,,,00:49:00,282,/en/stats/leaderboard?page=serve,,1,50,18.0,36,72,13.0,18.0,72,13.0,18.0,67,2,3,8,196,/en/stats/leaderboard?page=serve,,1,57,25,44,52,13,25,47,9,19,43,3,7,7,72,26,36,50,22,44,60,48,80,50,22,44,28,10,36,40,32,80,A,,,3,,,False,,,,M. Rios,A. Voinea,R286,V166,CHI,ROU,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS017,R32,01:18:00,,F,2,J100,"6-3,6-4",M. Joyce,J. Bjorkman,,,USA,SWE,6-3,6-4,,,,01:18:00,238,/en/stats/leaderboard?page=serve,2,3,55,37.0,67,65,24.0,37.0,47,14.0,30.0,63,5,8,10,191,/en/stats/leaderboard?page=serve,,2,56,42,75,57,24,42,36,12,33,69,11,16,9,57,38,67,52,39,75,54,77,142,48,36,75,43,29,67,46,65,142,A,,,4,,,,,,,M. Joyce,J. Bjorkman,J100,B446,USA,SWE,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS018,R32,02:21:00,,F,3,F192,"7-6(7),3-6,6-2",R. Furlan,A. Gaudenzi,,,ITA,ITA,7-6(7),3-6,6-2,,,02:21:00,239,/en/stats/leaderboard?page=serve,3,11,48,52.0,108,65,34.0,52.0,52,29.0,56.0,64,9,14,15,244,/en/stats/leaderboard?page=serve,,0,72,72,100,54,39,72,57,16,28,67,10,15,14,58,63,108,45,45,100,52,108,208,55,55,100,42,45,108,48,100,208,A,,,3,7,5,,,,,R. Furlan,A. Gaudenzi,F192,G254,ITA,ITA,,
404,1996,ATP Masters 1000 Indian Wells,1000,1996-03-11T00:00:00,1996-03-17T00:00:00,Hard,56,1950000,$,MS019,R32,00:58:00,,F,2,H223,"6-4,6-2",P. Haarhuis,T. Enqvist,,,NED,SWE,6-4,6-2,,,,00:58:00,295,/en/stats/leaderboard?page=serve,,6,56,25.0,45,80,20.0,25.0,65,13.0,20.0,50,1,2,9,207,/en/stats/leaderboard?page=serve,,1,63,34,54,74,25,34,20,4,20,20,1,5,9,73,33,45,46,25,54,59,58,99,54,29,54,27,12,45,41,41,99,A,,,6,,,False,,,,P. Haarhuis,T. Enqvist,H223,E113,NED,SWE,,
