event_id,event_year,tourney_name,level,start_date,end_date,surface,singles_draw_size,prize_money,prize_money_currency,match_id,round,match_time_total,match_message,match_status,num_sets,winner_flag_raw,score_string,winner_player_name,loser_player_name,winner_seed,loser_seed,winner_country,loser_country,set1_score,set2_score,set3_score,set4_score,set5_score,match_date,serverating_tot_winner,serveratinglink_tot_winner,doublefaults_tot_winner,aces_tot_winner,firstserve_percent_tot_winner,firstserve_dividend_tot_winner,firstserve_divisor_tot_winner,firstservepointswon_percent_tot_winner,firstservepointswon_dividend_tot_winner,firstservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,breakpointssaved_percent_tot_winner,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,servicegamesplayed_tot_winner,serverating_tot_loser,serveratinglink_tot_loser,doublefaults_tot_loser,aces_tot_loser,firstserve_percent_tot_loser,firstserve_dividend_tot_loser,firstserve_divisor_tot_loser,firstservepointswon_percent_tot_loser,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_loser,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser,servicegamesplayed_tot_loser,totalservicepointswon_percent_tot_winner,totalservicepointswon_dividend_tot_winner,totalservicepointswon_divisor_tot_winner,totalreturnpointswon_percent_tot_winner,totalreturnpointswon_dividend_tot_winner,totalreturnpointswon_divisor_tot_winner,totalpointswon_percent_tot_winner,totalpointswon_dividend_tot_winner,totalpointswon_divisor_tot_winner,totalservicepointswon_percent_tot_loser,totalservicepointswon_dividend_tot_loser,totalservicepointswon_divisor_tot_loser,totalreturnpointswon_percent_tot_loser,totalreturnpointswon_dividend_tot_loser,totalreturnpointswon_divisor_tot_loser,totalpointswon_percent_tot_loser,totalpointswon_dividend_tot_loser,totalpointswon_divisor_tot_loser,winner_flag,doublefaults_isstatbetter_tot_winner,tiebreak_set2_winner,tiebreak_set2_loser,doublefaults_isstatbetter_tot_loser,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,player_id_winner,player_id_loser,country_winner,country_loser,seed_winner,seed_loser
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS001,F,03:01:00,,F,5,B028,"3-6,6-3,3-6,6-3,6-4",B. Becker,P. Sampras,,,GER,USA,3-6,6-3,3-6,6-3,6-4,03:01:00,287,/en/stats/leaderboard?page=serve,11,29,54,75,138,83,62,75,46,29,63,67,6,9,23,275,/en/stats/leaderboard?page=serve,7,14,64,88,138,76,67,88,46,23,50,71,10,14,23,66,91,138,35,48,138,50,139,276,65,90,138,34,47,138,50,137,276,A,,,,,,,,,B. Becker,P. Sampras,B028,S402,GER,USA,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS002,SF,01:18:00,,F,2,S402,"6-3,6-4",P. Sampras,J. Siemerink,,,USA,NED,6-3,6-4,,,,01:18:00,277,/en/stats/leaderboard?page=serve,,8,61,41,67,83,34,41,35,9,26,75,3,4,10,231,/en/stats/leaderboard?page=serve,4,3,48,33,69,79,26,33,39,14,36,63,5,8,9,64,43,67,42,29,69,53,72,136,58,40,69,36,24,67,47,64,136,A,False,,,,,,,,P. Sampras,J. Siemerink,S402,S381,USA,NED,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS003,SF,01:15:00,,F,2,B028,"6-4,6-3",B. Becker,M. Chang,,,GER,USA,6-4,6-3,,,,01:15:00,299,/en/stats/leaderboard?page=serve,3,13,62,31,50,81,25,31,58,11,19,50,1,2,9,228,/en/stats/leaderboard?page=serve,2,4,59,36,61,67,24,36,40,10,25,43,3,7,10,72,36,50,44,27,61,57,63,111,56,34,61,28,14,50,43,48,111,A,,,,,,,,,B. Becker,M. Chang,B028,C274,GER,USA,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS004,QF,01:01:00,,F,2,S402,"6-4,6-1",P. Sampras,A. Agassi,,,USA,USA,6-4,6-1,,,,01:01:00,242,/en/stats/leaderboard?page=serve,1,9,63,37,59,73,27,37,32,7,22,50,3,6,9,145,/en/stats/leaderboard?page=serve,1,2,47,21,45,43,9,21,29,7,24,40,4,10,8,58,34,59,64,29,45,61,63,104,36,16,45,42,25,59,39,41,104,A,,,,,,,,,P. Sampras,A. Agassi,S402,A092,USA,USA,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS005,QF,01:10:00,,F,2,S381,"6-3,7-6(7)",J. Siemerink,G. Ivanisevic,,,NED,CRO,6-3,7-6(7),,,,01:10:00,281,/en/stats/leaderboard?page=serve,,2,64,50,78,82,41,50,43,12,28,83,5,6,11,279,/en/stats/leaderboard?page=serve,4,7,58,32,55,81,26,32,57,13,23,50,2,4,10,68,53,78,29,16,55,52,69,133,71,39,55,32,25,78,48,64,133,A,False,7,4,,,,,,J. Siemerink,G. Ivanisevic,S381,I034,NED,CRO,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS006,QF,01:00:00,,F,2,B028,"6-2,6-2",B. Becker,M. Gustafsson,,,GER,SWE,6-2,6-2,,,,01:00:00,235,/en/stats/leaderboard?page=serve,2,11,63,24,38,92,22,24,71,10,14,0,0,,8,205,/en/stats/leaderboard?page=serve,4,2,61,38,62,58,22,38,38,9,24,43,3,7,8,84,32,38,50,31,62,63,63,100,50,31,62,16,6,38,37,37,100,A,,,,,,,,,B. Becker,M. Gustafsson,B028,G182,GER,SWE,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS007,QF,01:18:00,,F,2,C274,"6-4,6-3",M. Chang,M. Rios,,,USA,CHI,6-4,6-3,,,,01:18:00,274,/en/stats/leaderboard?page=serve,2,1,54,33,61,67,22,33,64,18,28,67,2,3,10,239,/en/stats/leaderboard?page=serve,2,1,54,27,50,59,16,27,61,14,23,0,0,3,9,66,40,61,40,20,50,54,60,111,60,30,50,34,21,61,46,51,111,A,,,,,,,,,M. Chang,M. Rios,C274,R286,USA,CHI,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS008,R16,00:50:00,,F,2,S402,"6-1,6-4",P. Sampras,F. Mantilla,,,USA,ESP,6-1,6-4,,,,00:50:00,235,/en/stats/leaderboard?page=serve,,11,70,30,43,100,30,30,54,7,13,0,0,,9,224,/en/stats/leaderboard?page=serve,,1,56,29,52,62,18,29,43,10,23,25,1,4,8,86,37,43,46,24,52,64,61,95,54,28,52,,0,,,0,,A,False,,,False,,,,,P. Sampras,F. Mantilla,S402,M535,USA,ESP,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS009,R16,00:59:00,,F,2,A092,"6-4,6-2",A. Agassi,R. Reneberg,,,USA,USA,6-4,6-2,,,,00:59:00,232,/en/stats/leaderboard?page=serve,1,5,73,33,45,88,29,33,67,8,12,0,0,,9,229,/en/stats/leaderboard?page=serve,4,6,49,29,59,62,18,29,50,15,30,40,2,5,9,82,37,45,44,26,59,61,63,104,56,33,59,18,8,45,39,41,104,A,,,,,,,,,A. Agassi,R. Reneberg,A092,R016,USA,USA,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS010,R16,01:19:00,,F,2,S381,"6-4,6-4",J. Siemerink,R. Furlan,,,NED,ITA,6-4,6-4,,,,01:19:00,297,/en/stats/leaderboard?page=serve,1,5,61,35,57,74,26,35,68,15,22,50,1,2,10,246,/en/stats/leaderboard?page=serve,4,2,62,43,69,58,25,43,58,15,26,63,5,8,10,72,41,57,42,29,69,56,70,126,58,40,69,28,16,57,44,56,126,A,,,,,,,,,J. Siemerink,R. Furlan,S381,F192,NED,ITA,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS011,R16,01:02:00,,F,2,I034,"6-2,6-4",G. Ivanisevic,T. Martin,,,CRO,USA,6-2,6-4,,,,01:02:00,269,/en/stats/leaderboard?page=serve,5,13,53,26,49,96,25,26,57,13,23,,0,,9,233,/en/stats/leaderboard?page=serve,5,8,59,38,64,74,28,38,31,8,26,73,8,11,9,78,38,49,44,28,64,58,66,113,56,36,64,22,11,49,42,47,113,A,,,,,,,,,G. Ivanisevic,T. Martin,I034,M442,CRO,USA,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS012,R16,01:20:00,,F,2,B028,"6-4,7-5",B. Becker,T. Enqvist,,,GER,SWE,6-4,7-5,,,,01:20:00,303,/en/stats/leaderboard?page=serve,6,13,54,33,61,91,30,33,61,17,28,,0,,11,266,/en/stats/leaderboard?page=serve,3,8,51,34,67,74,25,34,55,18,33,67,4,6,11,77,47,61,36,24,67,55,71,128,64,43,67,23,14,61,45,57,128,A,,,,,,,,,B. Becker,T. Enqvist,B028,E113,GER,SWE,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS013,R16,02:22:00,,F,3,G182,"6-7(3),6-2,7-6(7)",M. Gustafsson,M. Woodforde,,,SWE,AUS,6-7(3),6-2,7-6(7),,,02:22:00,248,/en/stats/leaderboard?page=serve,3,4,64,72,113,64,46,72,51,21,41,62,8,13,16,225,/en/stats/leaderboard?page=serve,8,9,65,86,132,60,52,86,43,20,46,59,10,17,16,59,67,113,45,60,132,52,127,245,55,72,132,41,46,113,48,118,245,A,,,,,3,7,7,4,M. Gustafsson,M. Woodforde,G182,W035,SWE,AUS,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS014,R16,00:40:00,,F,2,R286,"6-4,6-4",M. Rios,R. Krajicek,,,CHI,NED,6-4,6-4,,,,00:40:00,232,/en/stats/leaderboard?page=serve,,10,75,30,40,87,26,30,60,6,10,0,0,,8,228,/en/stats/leaderboard?page=serve,2,4,67,32,48,66,21,32,38,6,16,0,0,4,9,80,32,40,44,21,48,60,53,88,56,27,48,20,8,40,40,35,88,A,False,,,,,,,,M. Rios,R. Krajicek,R286,K214,CHI,NED,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS015,R16,01:37:00,,F,2,C274,"7-5,6-2",M. Chang,J. Courier,,,USA,USA,7-5,6-2,,,,01:37:00,299,/en/stats/leaderboard?page=serve,,8,61,35,57,77,27,35,73,16,22,,0,,10,248,/en/stats/leaderboard?page=serve,2,6,66,52,79,67,35,52,41,11,27,50,3,6,10,75,43,57,42,33,79,56,76,136,58,46,79,25,14,57,44,60,136,A,False,,,,,,,,M. Chang,J. Courier,C274,C243,USA,USA,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS016,R32,01:07:00,,F,2,S402,"6-3,6-4",P. Sampras,S. Sargsian,,,USA,ARM,6-3,6-4,,,,01:07:00,277,/en/stats/leaderboard?page=serve,3,6,57,34,60,85,29,34,42,11,26,50,1,2,10,231,/en/stats/leaderboard?page=serve,4,2,55,32,58,66,21,32,46,12,26,40,2,5,9,67,40,60,43,25,58,55,65,118,57,33,58,33,20,60,45,53,118,A,,,,,,,,,P. Sampras,S. Sargsian,S402,S545,USA,ARM,,
357,1996,ATP Masters 1000 Stuttgart,1000,1996-10-21T00:00:00,1996-10-27T00:00:00,Carpet,48,1950000,$,MS017,R32,01:51:00,,F,3,M535,"7-6(7),3-6,7-5",F. Mantilla,M. Rosset,,,ESP,SUI,7-6(7),3-6,7-5,,,01:51:00,290,/en/stats/leaderboard?page=serve,4,1,43,38,89,82,31,38,75,38,51,50,1,2,16,312,/en/stats/leaderboard?page=serve,3,18,56,54,96,87,47,54,60,25,42,67,2,3,17,78,69,89,25,24,96,50,93,185,75,72,96,22,20,89,50,92,185,A,,,,,7,3,,,F. Mantilla,M. Rosset,M535,R214,ESP,SUI,,
